 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 1.184986E-16
1.191919E+01 1.556116E-16
1.383838E+01 -9.132739E-17
1.575758E+01 -1.122356E-16
1.767677E+01 -6.882623E-17
1.959596E+01 8.341538E-17
2.151515E+01 0.000000E+00
2.343434E+01 -1.177348E-16
2.535354E+01 -1.373595E-16
2.727273E+01 7.929672E-17
2.919192E+01 -9.071141E-17
3.111111E+01 0.000000E+00
3.303030E+01 5.795863E-17
3.494949E+01 1.297031E-16
3.686869E+01 0.000000E+00
3.878788E+01 0.000000E+00
4.070707E+01 0.000000E+00
4.262626E+01 0.000000E+00
4.454545E+01 0.000000E+00
4.646465E+01 5.722442E-17
4.838384E+01 0.000000E+00
5.030303E+01 6.705633E-17
5.222222E+01 -7.226547E-17
5.414141E+01 7.767000E-17
5.606061E+01 0.000000E+00
5.797980E+01 0.000000E+00
5.989899E+01 0.000000E+00
6.181818E+01 -1.012414E-16
6.373737E+01 1.076224E-16
6.565657E+01 0.000000E+00
6.757576E+01 1.209702E-16
6.949495E+01 6.396844E-17
7.141414E+01 0.000000E+00
7.333333E+01 7.122795E-17
7.525253E+01 7.500410E-17
7.717172E+01 1.577557E-16
7.909091E+01 0.000000E+00
8.101010E+01 8.691808E-17
8.292929E+01 -9.108457E-17
8.484848E+01 0.000000E+00
8.676768E+01 0.000000E+00
8.868687E+01 -1.041695E-16
9.060606E+01 -1.087263E-16
9.252525E+01 0.000000E+00
9.444444E+01 0.000000E+00
9.636364E+01 0.000000E+00
9.828283E+01 0.000000E+00
1.002020E+02 0.000000E+00
1.021212E+02 1.381161E-16
1.040404E+02 7.167797E-17
1.059596E+02 -2.230400E-16
1.078788E+02 0.000000E+00
1.097980E+02 1.596607E-16
1.117172E+02 -1.652908E-16
1.136364E+02 8.550921E-17
1.155556E+02 -8.842181E-17
1.174747E+02 0.000000E+00
1.193939E+02 0.000000E+00
1.213131E+02 0.000000E+00
1.232323E+02 -1.005600E-16
1.251515E+02 0.000000E+00
1.270707E+02 -1.069218E-16
1.289899E+02 -1.101759E-16
1.309091E+02 1.134787E-16
1.328283E+02 -1.168304E-16
1.347475E+02 0.000000E+00
1.366667E+02 0.000000E+00
1.385859E+02 -1.271779E-16
1.405051E+02 0.000000E+00
1.424242E+02 0.000000E+00
1.443434E+02 0.000000E+00
1.462626E+02 0.000000E+00
1.481818E+02 -7.269977E-17
1.501010E+02 0.000000E+00
1.520202E+02 -7.651482E-17
1.539394E+02 7.845893E-17
1.558586E+02 -1.608549E-16
1.577778E+02 0.000000E+00
1.596970E+02 8.443760E-17
1.616162E+02 0.000000E+00
1.635354E+02 0.000000E+00
1.654545E+02 0.000000E+00
1.673737E+02 -1.855013E-16
1.692929E+02 0.000000E+00
1.712121E+02 0.000000E+00
1.731313E+02 0.000000E+00
1.750505E+02 1.014539E-16
1.769697E+02 1.036907E-16
1.788889E+02 -1.059519E-16
1.808081E+02 0.000000E+00
1.827273E+02 -1.105474E-16
1.846465E+02 -1.693226E-16
1.865657E+02 -1.152405E-16
1.884848E+02 5.881181E-17
1.904040E+02 0.000000E+00
1.923232E+02 0.000000E+00
1.942424E+02 0.000000E+00
1.961616E+02 0.000000E+00
1.980808E+02 -6.495257E-17
2.000000E+02 6.621730E-17
