 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 2.422594E+00
1.191919E+01 6.397925E+00
1.383838E+01 8.391643E+00
1.575758E+01 9.711112E+00
1.767677E+01 1.065030E+01
1.959596E+01 1.134634E+01
2.151515E+01 1.187712E+01
2.343434E+01 1.229108E+01
2.535354E+01 1.261999E+01
2.727273E+01 1.288551E+01
2.919192E+01 1.310284E+01
3.111111E+01 1.328288E+01
3.303030E+01 1.343366E+01
3.494949E+01 1.356114E+01
3.686869E+01 1.366985E+01
3.878788E+01 1.376330E+01
4.070707E+01 1.384419E+01
4.262626E+01 1.391466E+01
4.454545E+01 1.397643E+01
4.646465E+01 1.403086E+01
4.838384E+01 1.407906E+01
5.030303E+01 1.412196E+01
5.222222E+01 1.416028E+01
5.414141E+01 1.419467E+01
5.606061E+01 1.422564E+01
5.797980E+01 1.425362E+01
5.989899E+01 1.427899E+01
6.181818E+01 1.430207E+01
6.373737E+01 1.432311E+01
6.565657E+01 1.434236E+01
6.757576E+01 1.436000E+01
6.949495E+01 1.437622E+01
7.141414E+01 1.439116E+01
7.333333E+01 1.440496E+01
7.525253E+01 1.441771E+01
7.717172E+01 1.442954E+01
7.909091E+01 1.444052E+01
8.101010E+01 1.445074E+01
8.292929E+01 1.446026E+01
8.484848E+01 1.446915E+01
8.676768E+01 1.447745E+01
8.868687E+01 1.448523E+01
9.060606E+01 1.449252E+01
9.252525E+01 1.449936E+01
9.444444E+01 1.450580E+01
9.636364E+01 1.451185E+01
9.828283E+01 1.451756E+01
1.002020E+02 1.452294E+01
1.021212E+02 1.452802E+01
1.040404E+02 1.453283E+01
1.059596E+02 1.453737E+01
1.078788E+02 1.454168E+01
1.097980E+02 1.454577E+01
1.117172E+02 1.454964E+01
1.136364E+02 1.455333E+01
1.155556E+02 1.455683E+01
1.174747E+02 1.456016E+01
1.193939E+02 1.456333E+01
1.213131E+02 1.456636E+01
1.232323E+02 1.456924E+01
1.251515E+02 1.457199E+01
1.270707E+02 1.457462E+01
1.289899E+02 1.457714E+01
1.309091E+02 1.457954E+01
1.328283E+02 1.458184E+01
1.347475E+02 1.458405E+01
1.366667E+02 1.458616E+01
1.385859E+02 1.458818E+01
1.405051E+02 1.459012E+01
1.424242E+02 1.459199E+01
1.443434E+02 1.459378E+01
1.462626E+02 1.459550E+01
1.481818E+02 1.459716E+01
1.501010E+02 1.459875E+01
1.520202E+02 1.460028E+01
1.539394E+02 1.460175E+01
1.558586E+02 1.460318E+01
1.577778E+02 1.460455E+01
1.596970E+02 1.460587E+01
1.616162E+02 1.460714E+01
1.635354E+02 1.460837E+01
1.654545E+02 1.460956E+01
1.673737E+02 1.461070E+01
1.692929E+02 1.461181E+01
1.712121E+02 1.461288E+01
1.731313E+02 1.461392E+01
1.750505E+02 1.461492E+01
1.769697E+02 1.461589E+01
1.788889E+02 1.461683E+01
1.808081E+02 1.461773E+01
1.827273E+02 1.461862E+01
1.846465E+02 1.461947E+01
1.865657E+02 1.462029E+01
1.884848E+02 1.462110E+01
1.904040E+02 1.462187E+01
1.923232E+02 1.462263E+01
1.942424E+02 1.462336E+01
1.961616E+02 1.462407E+01
1.980808E+02 1.462476E+01
2.000000E+02 1.462543E+01
