 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Asymmetry
1.000000E+01 2.422594E+00
1.095477E+01 4.892310E+00
1.190955E+01 6.385175E+00
1.286432E+01 7.495838E+00
1.381910E+01 8.375694E+00
1.477387E+01 9.094947E+00
1.572864E+01 9.694503E+00
1.668342E+01 1.020125E+01
1.763819E+01 1.063414E+01
1.859296E+01 1.100721E+01
1.954774E+01 1.133112E+01
2.050251E+01 1.161419E+01
2.145729E+01 1.186302E+01
2.241206E+01 1.208289E+01
2.336683E+01 1.227811E+01
2.432161E+01 1.245221E+01
2.527638E+01 1.260811E+01
2.623116E+01 1.274824E+01
2.718593E+01 1.287464E+01
2.814070E+01 1.298903E+01
2.909548E+01 1.309288E+01
3.005025E+01 1.318743E+01
3.100503E+01 1.327376E+01
3.195980E+01 1.335277E+01
3.291457E+01 1.342528E+01
3.386935E+01 1.349196E+01
3.482412E+01 1.355342E+01
3.577889E+01 1.361020E+01
3.673367E+01 1.366274E+01
3.768844E+01 1.371146E+01
3.864322E+01 1.375672E+01
3.959799E+01 1.379884E+01
4.055276E+01 1.383810E+01
4.150754E+01 1.387474E+01
4.246231E+01 1.390901E+01
4.341709E+01 1.394109E+01
4.437186E+01 1.397116E+01
4.532663E+01 1.399940E+01
4.628141E+01 1.402595E+01
4.723618E+01 1.405093E+01
4.819095E+01 1.407447E+01
4.914573E+01 1.409668E+01
5.010050E+01 1.411766E+01
5.105528E+01 1.413748E+01
5.201005E+01 1.415625E+01
5.296482E+01 1.417403E+01
5.391960E+01 1.419088E+01
5.487437E+01 1.420687E+01
5.582915E+01 1.422207E+01
5.678392E+01 1.423651E+01
5.773869E+01 1.425026E+01
5.869347E+01 1.426334E+01
5.964824E+01 1.427582E+01
6.060302E+01 1.428771E+01
6.155779E+01 1.429906E+01
6.251256E+01 1.430990E+01
6.346734E+01 1.432026E+01
6.442211E+01 1.433017E+01
6.537688E+01 1.433966E+01
6.633166E+01 1.434874E+01
6.728643E+01 1.435744E+01
6.824121E+01 1.436578E+01
6.919598E+01 1.437378E+01
7.015075E+01 1.438146E+01
7.110553E+01 1.438884E+01
7.206030E+01 1.439593E+01
7.301508E+01 1.440274E+01
7.396985E+01 1.440930E+01
7.492462E+01 1.441560E+01
7.587940E+01 1.442168E+01
7.683417E+01 1.442752E+01
7.778894E+01 1.443316E+01
7.874372E+01 1.443860E+01
7.969849E+01 1.444384E+01
8.065327E+01 1.444890E+01
8.160804E+01 1.445378E+01
8.256281E+01 1.445849E+01
8.351759E+01 1.446305E+01
8.447236E+01 1.446745E+01
8.542714E+01 1.447171E+01
8.638191E+01 1.447583E+01
8.733668E+01 1.447981E+01
8.829146E+01 1.448367E+01
8.924623E+01 1.448740E+01
9.020101E+01 1.449102E+01
9.115578E+01 1.449452E+01
9.211055E+01 1.449792E+01
9.306533E+01 1.450121E+01
9.402010E+01 1.450441E+01
9.497487E+01 1.450751E+01
9.592965E+01 1.451051E+01
9.688442E+01 1.451343E+01
9.783920E+01 1.451627E+01
9.879397E+01 1.451902E+01
9.974874E+01 1.452169E+01
1.007035E+02 1.452429E+01
1.016583E+02 1.452682E+01
1.026131E+02 1.452928E+01
1.035678E+02 1.453167E+01
1.045226E+02 1.453399E+01
1.054774E+02 1.453625E+01
1.064322E+02 1.453846E+01
1.073869E+02 1.454060E+01
1.083417E+02 1.454269E+01
1.092965E+02 1.454472E+01
1.102513E+02 1.454670E+01
1.112060E+02 1.454863E+01
1.121608E+02 1.455051E+01
1.131156E+02 1.455234E+01
1.140704E+02 1.455413E+01
1.150251E+02 1.455588E+01
1.159799E+02 1.455758E+01
1.169347E+02 1.455924E+01
1.178894E+02 1.456086E+01
1.188442E+02 1.456244E+01
1.197990E+02 1.456398E+01
1.207538E+02 1.456549E+01
1.217085E+02 1.456696E+01
1.226633E+02 1.456840E+01
1.236181E+02 1.456980E+01
1.245729E+02 1.457118E+01
1.255276E+02 1.457252E+01
1.264824E+02 1.457383E+01
1.274372E+02 1.457511E+01
1.283920E+02 1.457637E+01
1.293467E+02 1.457759E+01
1.303015E+02 1.457879E+01
1.312563E+02 1.457996E+01
1.322111E+02 1.458111E+01
1.331658E+02 1.458224E+01
1.341206E+02 1.458334E+01
