 m,M ->c,C
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Asymmetry
1.000000E+01 -8.999325E-03
1.095477E+01 -1.094679E-02
1.190955E+01 -1.308318E-02
1.286432E+01 -1.541122E-02
1.381910E+01 -1.793396E-02
1.477387E+01 -2.065473E-02
1.572864E+01 -2.357717E-02
1.668342E+01 -2.670523E-02
1.763819E+01 -3.004316E-02
1.859296E+01 -3.359550E-02
1.954774E+01 -3.736714E-02
2.050251E+01 -4.136327E-02
2.145729E+01 -4.558942E-02
2.241206E+01 -5.005146E-02
2.336683E+01 -5.475561E-02
2.432161E+01 -5.970845E-02
2.527638E+01 -6.491693E-02
2.623116E+01 -7.038835E-02
2.718593E+01 -7.613042E-02
2.814070E+01 -8.215122E-02
2.909548E+01 -8.845923E-02
3.005025E+01 -9.506333E-02
3.100503E+01 -1.019728E-01
3.195980E+01 -1.091972E-01
3.291457E+01 -1.167467E-01
3.386935E+01 -1.246317E-01
3.482412E+01 -1.328629E-01
3.577889E+01 -1.414515E-01
3.673367E+01 -1.504089E-01
3.768844E+01 -1.597468E-01
3.864322E+01 -1.694771E-01
3.959799E+01 -1.796118E-01
4.055276E+01 -1.901631E-01
4.150754E+01 -2.011429E-01
4.246231E+01 -2.125633E-01
4.341709E+01 -2.244357E-01
4.437186E+01 -2.367711E-01
4.532663E+01 -2.495799E-01
4.628141E+01 -2.628714E-01
4.723618E+01 -2.766533E-01
4.819095E+01 -2.909318E-01
4.914573E+01 -3.057108E-01
5.010050E+01 -3.209915E-01
5.105528E+01 -3.367714E-01
5.201005E+01 -3.530441E-01
5.296482E+01 -3.697979E-01
5.391960E+01 -3.870149E-01
5.487437E+01 -4.046703E-01
5.582915E+01 -4.227300E-01
5.678392E+01 -4.411502E-01
5.773869E+01 -4.598749E-01
5.869347E+01 -4.788340E-01
5.964824E+01 -4.979419E-01
6.060302E+01 -5.170941E-01
6.155779E+01 -5.361660E-01
6.251256E+01 -5.550093E-01
6.346734E+01 -5.734507E-01
6.442211E+01 -5.912888E-01
6.537688E+01 -6.082926E-01
6.633166E+01 -6.242003E-01
6.728643E+01 -6.387190E-01
6.824121E+01 -6.515251E-01
6.919598E+01 -6.622674E-01
7.015075E+01 -6.705712E-01
7.110553E+01 -6.760450E-01
7.206030E+01 -6.782903E-01
7.301508E+01 -6.769135E-01
7.396985E+01 -6.715409E-01
7.492462E+01 -6.618356E-01
7.587940E+01 -6.475164E-01
7.683417E+01 -6.283764E-01
7.778894E+01 -6.043009E-01
7.874372E+01 -5.752828E-01
7.969849E+01 -5.414325E-01
8.065327E+01 -5.029829E-01
8.160804E+01 -4.602866E-01
8.256281E+01 -4.138063E-01
8.351759E+01 -3.640979E-01
8.447236E+01 -3.117879E-01
8.542714E+01 -2.575478E-01
8.638191E+01 -2.020657E-01
8.733668E+01 -1.460195E-01
8.829146E+01 -9.005299E-02
8.924623E+01 -3.475552E-02
9.020101E+01 1.935249E-02
9.115578E+01 7.182882E-02
9.211055E+01 1.223134E-01
9.306533E+01 1.705276E-01
9.402010E+01 2.162705E-01
9.497487E+01 2.594115E-01
9.592965E+01 2.998824E-01
9.688442E+01 3.376680E-01
9.783920E+01 3.727966E-01
9.879397E+01 4.053316E-01
9.974874E+01 4.353628E-01
1.007035E+02 4.629997E-01
1.016583E+02 4.883648E-01
1.026131E+02 5.115889E-01
1.035678E+02 5.328067E-01
1.045226E+02 5.521534E-01
1.054774E+02 5.697623E-01
1.064322E+02 5.857628E-01
1.073869E+02 6.002791E-01
1.083417E+02 6.134291E-01
1.092965E+02 6.253242E-01
1.102513E+02 6.360686E-01
1.112060E+02 6.457596E-01
1.121608E+02 6.544873E-01
1.131156E+02 6.623351E-01
1.140704E+02 6.693799E-01
1.150251E+02 6.756924E-01
1.159799E+02 6.813375E-01
1.169347E+02 6.863746E-01
1.178894E+02 6.908581E-01
1.188442E+02 6.948375E-01
1.197990E+02 6.983582E-01
1.207538E+02 7.014616E-01
1.217085E+02 7.041853E-01
1.226633E+02 7.065637E-01
1.236181E+02 7.086279E-01
1.245729E+02 7.104047E-01
1.255276E+02 7.119183E-01
1.264824E+02 7.132094E-01
1.274372E+02 7.142789E-01
1.283920E+02 7.151533E-01
