 m,M ->e,E
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Asymmetry
1.000000E+01 -6.406562E-03
1.095477E+01 -7.707578E-03
1.190955E+01 -9.134366E-03
1.286432E+01 -1.068887E-02
1.381910E+01 -1.237323E-02
1.477387E+01 -1.418976E-02
1.572864E+01 -1.614100E-02
1.668342E+01 -1.822968E-02
1.763819E+01 -2.045875E-02
1.859296E+01 -2.283139E-02
1.954774E+01 -2.535103E-02
2.050251E+01 -2.802131E-02
2.145729E+01 -3.084615E-02
2.241206E+01 -3.382976E-02
2.336683E+01 -3.697659E-02
2.432161E+01 -4.029142E-02
2.527638E+01 -4.377932E-02
2.623116E+01 -4.744571E-02
2.718593E+01 -5.129635E-02
2.814070E+01 -5.533736E-02
2.909548E+01 -5.957523E-02
3.005025E+01 -6.401689E-02
3.100503E+01 -6.866967E-02
3.195980E+01 -7.354137E-02
3.291457E+01 -7.864024E-02
3.386935E+01 -8.397507E-02
3.482412E+01 -8.955515E-02
3.577889E+01 -9.539034E-02
3.673367E+01 -1.014911E-01
3.768844E+01 -1.078685E-01
3.864322E+01 -1.145342E-01
3.959799E+01 -1.215007E-01
4.055276E+01 -1.287811E-01
4.150754E+01 -1.363893E-01
4.246231E+01 -1.443399E-01
4.341709E+01 -1.526485E-01
4.437186E+01 -1.613312E-01
4.532663E+01 -1.704054E-01
4.628141E+01 -1.798890E-01
4.723618E+01 -1.898010E-01
4.819095E+01 -2.001613E-01
4.914573E+01 -2.109905E-01
5.010050E+01 -2.223101E-01
5.105528E+01 -2.341424E-01
5.201005E+01 -2.465103E-01
5.296482E+01 -2.594374E-01
5.391960E+01 -2.729473E-01
5.487437E+01 -2.870641E-01
5.582915E+01 -3.018112E-01
5.678392E+01 -3.172116E-01
5.773869E+01 -3.332867E-01
5.869347E+01 -3.500559E-01
5.964824E+01 -3.675358E-01
6.060302E+01 -3.857383E-01
6.155779E+01 -4.046697E-01
6.251256E+01 -4.243282E-01
6.346734E+01 -4.447022E-01
6.442211E+01 -4.657662E-01
6.537688E+01 -4.874782E-01
6.633166E+01 -5.097742E-01
6.728643E+01 -5.325631E-01
6.824121E+01 -5.557201E-01
6.919598E+01 -5.790784E-01
7.015075E+01 -6.024206E-01
7.110553E+01 -6.254680E-01
7.206030E+01 -6.478690E-01
7.301508E+01 -6.691878E-01
7.396985E+01 -6.888917E-01
7.492462E+01 -7.063419E-01
7.587940E+01 -7.207864E-01
7.683417E+01 -7.313600E-01
7.778894E+01 -7.370936E-01
7.874372E+01 -7.369382E-01
7.969849E+01 -7.298053E-01
8.065327E+01 -7.146293E-01
8.160804E+01 -6.904498E-01
8.256281E+01 -6.565118E-01
8.351759E+01 -6.123738E-01
8.447236E+01 -5.580089E-01
8.542714E+01 -4.938791E-01
8.638191E+01 -4.209654E-01
8.733668E+01 -3.407371E-01
8.829146E+01 -2.550607E-01
8.924623E+01 -1.660562E-01
9.020101E+01 -7.592516E-02
9.115578E+01 1.322198E-02
9.211055E+01 9.951199E-02
9.306533E+01 1.814108E-01
9.402010E+01 2.577738E-01
9.497487E+01 3.278492E-01
9.592965E+01 3.912444E-01
9.688442E+01 4.478699E-01
9.783920E+01 4.978733E-01
9.879397E+01 5.415739E-01
9.974874E+01 5.794037E-01
1.007035E+02 6.118585E-01
1.016583E+02 6.394603E-01
1.026131E+02 6.627292E-01
1.035678E+02 6.821650E-01
1.045226E+02 6.982353E-01
1.054774E+02 7.113686E-01
1.064322E+02 7.219523E-01
1.073869E+02 7.303320E-01
1.083417E+02 7.368138E-01
1.092965E+02 7.416665E-01
1.102513E+02 7.451248E-01
1.112060E+02 7.473932E-01
1.121608E+02 7.486490E-01
1.131156E+02 7.490453E-01
1.140704E+02 7.487144E-01
1.150251E+02 7.477703E-01
1.159799E+02 7.463111E-01
1.169347E+02 7.444211E-01
1.178894E+02 7.421727E-01
1.188442E+02 7.396281E-01
1.197990E+02 7.368407E-01
1.207538E+02 7.338562E-01
1.217085E+02 7.307137E-01
1.226633E+02 7.274468E-01
1.236181E+02 7.240843E-01
1.245729E+02 7.206506E-01
1.255276E+02 7.171667E-01
1.264824E+02 7.136504E-01
1.274372E+02 7.101170E-01
1.283920E+02 7.065793E-01
