 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 0.000000E+00
1.191919E+01 0.000000E+00
1.383838E+01 -1.050362E-16
1.575758E+01 0.000000E+00
1.767677E+01 0.000000E+00
1.959596E+01 0.000000E+00
2.151515E+01 0.000000E+00
2.343434E+01 6.723705E-17
2.535354E+01 -1.085274E-16
2.727273E+01 8.939338E-17
2.919192E+01 0.000000E+00
3.111111E+01 0.000000E+00
3.303030E+01 0.000000E+00
3.494949E+01 9.392232E-17
3.686869E+01 0.000000E+00
3.878788E+01 0.000000E+00
4.070707E+01 0.000000E+00
4.262626E+01 -5.573828E-17
4.454545E+01 0.000000E+00
4.646465E+01 0.000000E+00
4.838384E+01 0.000000E+00
5.030303E+01 0.000000E+00
5.222222E+01 -6.310022E-17
5.414141E+01 0.000000E+00
5.606061E+01 0.000000E+00
5.797980E+01 0.000000E+00
5.989899E+01 8.252731E-17
6.181818E+01 0.000000E+00
6.373737E+01 0.000000E+00
6.565657E+01 6.030534E-17
6.757576E+01 1.085853E-16
6.949495E+01 0.000000E+00
7.141414E+01 0.000000E+00
7.333333E+01 0.000000E+00
7.525253E+01 0.000000E+00
7.717172E+01 0.000000E+00
7.909091E+01 0.000000E+00
8.101010E+01 -1.006963E-16
8.292929E+01 0.000000E+00
8.484848E+01 1.585087E-16
8.676768E+01 0.000000E+00
8.868687E+01 0.000000E+00
9.060606E+01 0.000000E+00
9.252525E+01 0.000000E+00
9.444444E+01 0.000000E+00
9.636364E+01 0.000000E+00
9.828283E+01 -1.183588E-16
1.002020E+02 0.000000E+00
1.021212E+02 8.327295E-17
1.040404E+02 0.000000E+00
1.059596E+02 0.000000E+00
1.078788E+02 0.000000E+00
1.097980E+02 0.000000E+00
1.117172E+02 0.000000E+00
1.136364E+02 0.000000E+00
1.155556E+02 0.000000E+00
1.174747E+02 0.000000E+00
1.193939E+02 0.000000E+00
1.213131E+02 1.244017E-16
1.232323E+02 0.000000E+00
1.251515E+02 0.000000E+00
1.270707E+02 0.000000E+00
1.289899E+02 0.000000E+00
1.309091E+02 1.263879E-16
1.328283E+02 0.000000E+00
1.347475E+02 0.000000E+00
1.366667E+02 0.000000E+00
1.385859E+02 1.636186E-16
1.405051E+02 0.000000E+00
1.424242E+02 0.000000E+00
1.443434E+02 8.040426E-17
1.462626E+02 0.000000E+00
1.481818E+02 0.000000E+00
1.501010E+02 0.000000E+00
1.520202E+02 0.000000E+00
1.539394E+02 0.000000E+00
1.558586E+02 0.000000E+00
1.577778E+02 -1.071888E-16
1.596970E+02 0.000000E+00
1.616162E+02 6.554174E-17
1.635354E+02 0.000000E+00
1.654545E+02 0.000000E+00
1.673737E+02 0.000000E+00
1.692929E+02 0.000000E+00
1.712121E+02 0.000000E+00
1.731313E+02 0.000000E+00
1.750505E+02 0.000000E+00
1.769697E+02 -6.123335E-17
1.788889E+02 0.000000E+00
1.808081E+02 0.000000E+00
1.827273E+02 0.000000E+00
1.846465E+02 0.000000E+00
1.865657E+02 0.000000E+00
1.884848E+02 0.000000E+00
1.904040E+02 0.000000E+00
1.923232E+02 0.000000E+00
1.942424E+02 1.009363E-16
1.961616E+02 0.000000E+00
1.980808E+02 0.000000E+00
2.000000E+02 0.000000E+00
