 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 4.869694E-02
1.191919E+01 9.108091E-02
1.383838E+01 9.861342E-02
1.575758E+01 1.011305E-01
1.767677E+01 1.021915E-01
1.959596E+01 1.027021E-01
2.151515E+01 1.029699E-01
2.343434E+01 1.031189E-01
2.535354E+01 1.032052E-01
2.727273E+01 1.032565E-01
2.919192E+01 1.032875E-01
3.111111E+01 1.033062E-01
3.303030E+01 1.033174E-01
3.494949E+01 1.033238E-01
3.686869E+01 1.033271E-01
3.878788E+01 1.033286E-01
4.070707E+01 1.033287E-01
4.262626E+01 1.033281E-01
4.454545E+01 1.033269E-01
4.646465E+01 1.033255E-01
4.838384E+01 1.033239E-01
5.030303E+01 1.033222E-01
5.222222E+01 1.033204E-01
5.414141E+01 1.033187E-01
5.606061E+01 1.033170E-01
5.797980E+01 1.033154E-01
5.989899E+01 1.033139E-01
6.181818E+01 1.033124E-01
6.373737E+01 1.033110E-01
6.565657E+01 1.033096E-01
6.757576E+01 1.033084E-01
6.949495E+01 1.033072E-01
7.141414E+01 1.033061E-01
7.333333E+01 1.033050E-01
7.525253E+01 1.033040E-01
7.717172E+01 1.033030E-01
7.909091E+01 1.033021E-01
8.101010E+01 1.033013E-01
8.292929E+01 1.033005E-01
8.484848E+01 1.032997E-01
8.676768E+01 1.032990E-01
8.868687E+01 1.032984E-01
9.060606E+01 1.032977E-01
9.252525E+01 1.032971E-01
9.444444E+01 1.032965E-01
9.636364E+01 1.032960E-01
9.828283E+01 1.032955E-01
1.002020E+02 1.032950E-01
1.021212E+02 1.032945E-01
1.040404E+02 1.032941E-01
1.059596E+02 1.032936E-01
1.078788E+02 1.032932E-01
1.097980E+02 1.032929E-01
1.117172E+02 1.032925E-01
1.136364E+02 1.032921E-01
1.155556E+02 1.032918E-01
1.174747E+02 1.032915E-01
1.193939E+02 1.032912E-01
1.213131E+02 1.032909E-01
1.232323E+02 1.032906E-01
1.251515E+02 1.032903E-01
1.270707E+02 1.032901E-01
1.289899E+02 1.032898E-01
1.309091E+02 1.032896E-01
1.328283E+02 1.032894E-01
1.347475E+02 1.032892E-01
1.366667E+02 1.032890E-01
1.385859E+02 1.032888E-01
1.405051E+02 1.032886E-01
1.424242E+02 1.032884E-01
1.443434E+02 1.032882E-01
1.462626E+02 1.032880E-01
1.481818E+02 1.032879E-01
1.501010E+02 1.032877E-01
1.520202E+02 1.032876E-01
1.539394E+02 1.032874E-01
1.558586E+02 1.032873E-01
1.577778E+02 1.032871E-01
1.596970E+02 1.032870E-01
1.616162E+02 1.032869E-01
1.635354E+02 1.032867E-01
1.654545E+02 1.032866E-01
1.673737E+02 1.032865E-01
1.692929E+02 1.032864E-01
1.712121E+02 1.032863E-01
1.731313E+02 1.032862E-01
1.750505E+02 1.032861E-01
1.769697E+02 1.032860E-01
1.788889E+02 1.032859E-01
1.808081E+02 1.032858E-01
1.827273E+02 1.032857E-01
1.846465E+02 1.032856E-01
1.865657E+02 1.032855E-01
1.884848E+02 1.032854E-01
1.904040E+02 1.032854E-01
1.923232E+02 1.032853E-01
1.942424E+02 1.032852E-01
1.961616E+02 1.032851E-01
1.980808E+02 1.032851E-01
2.000000E+02 1.032850E-01
