 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 -3.177318E-03
1.191919E+01 -1.198032E-02
1.383838E+01 -2.130355E-02
1.575758E+01 -3.217383E-02
1.767677E+01 -4.472402E-02
1.959596E+01 -5.901298E-02
2.151515E+01 -7.508858E-02
2.343434E+01 -9.299706E-02
2.535354E+01 -1.127819E-01
2.727273E+01 -1.344795E-01
2.919192E+01 -1.581128E-01
3.111111E+01 -1.836830E-01
3.303030E+01 -2.111599E-01
3.494949E+01 -2.404693E-01
3.686869E+01 -2.714781E-01
3.878788E+01 -3.039777E-01
4.070707E+01 -3.376644E-01
4.262626E+01 -3.721200E-01
4.454545E+01 -4.067929E-01
4.646465E+01 -4.409831E-01
4.838384E+01 -4.738354E-01
5.030303E+01 -5.043454E-01
5.222222E+01 -5.313841E-01
5.414141E+01 -5.537450E-01
5.606061E+01 -5.702153E-01
5.797980E+01 -5.796695E-01
5.989899E+01 -5.811751E-01
6.181818E+01 -5.740967E-01
6.373737E+01 -5.581798E-01
6.565657E+01 -5.335977E-01
6.757576E+01 -5.009484E-01
6.949495E+01 -4.612015E-01
7.141414E+01 -4.156047E-01
7.333333E+01 -3.655661E-01
7.525253E+01 -3.125336E-01
7.717172E+01 -2.578895E-01
7.909091E+01 -2.028714E-01
8.101010E+01 -1.485236E-01
8.292929E+01 -9.567727E-02
8.484848E+01 -4.495306E-02
8.676768E+01 3.219896E-03
8.868687E+01 4.857692E-02
9.060606E+01 9.098729E-02
9.252525E+01 1.304244E-01
9.444444E+01 1.669387E-01
9.636364E+01 2.006355E-01
9.828283E+01 2.316554E-01
1.002020E+02 2.601609E-01
1.021212E+02 2.863250E-01
1.040404E+02 3.103230E-01
1.059596E+02 3.323278E-01
1.078788E+02 3.525052E-01
1.097980E+02 3.710123E-01
1.117172E+02 3.879960E-01
1.136364E+02 4.035920E-01
1.155556E+02 4.179255E-01
1.174747E+02 4.311108E-01
1.193939E+02 4.432520E-01
1.213131E+02 4.544437E-01
1.232323E+02 4.647702E-01
1.251515E+02 4.614998E-01
1.270707E+02 4.831392E-01
1.289899E+02 4.913164E-01
1.309091E+02 4.988967E-01
1.328283E+02 5.059337E-01
1.347475E+02 5.124741E-01
1.366667E+02 5.185604E-01
1.385859E+02 5.242307E-01
1.405051E+02 5.295197E-01
1.424242E+02 5.344586E-01
1.443434E+02 5.390759E-01
1.462626E+02 5.433972E-01
1.481818E+02 5.474460E-01
1.501010E+02 5.512435E-01
1.520202E+02 5.548089E-01
1.539394E+02 5.581600E-01
1.558586E+02 5.613128E-01
1.577778E+02 5.642818E-01
1.596970E+02 5.670805E-01
1.616162E+02 5.697212E-01
1.635354E+02 5.722149E-01
1.654545E+02 5.745721E-01
1.673737E+02 5.768021E-01
1.692929E+02 5.789136E-01
1.712121E+02 5.809145E-01
1.731313E+02 5.828122E-01
1.750505E+02 5.846134E-01
1.769697E+02 5.863244E-01
1.788889E+02 5.879509E-01
1.808081E+02 5.894982E-01
1.827273E+02 5.909712E-01
1.846465E+02 5.923746E-01
1.865657E+02 5.937124E-01
1.884848E+02 5.949887E-01
1.904040E+02 5.962070E-01
1.923232E+02 5.973707E-01
1.942424E+02 5.984830E-01
1.961616E+02 5.995468E-01
1.980808E+02 6.005648E-01
2.000000E+02 6.015395E-01
