 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 1.116022E+00
-9.850000E-01 1.104897E+00
-9.750000E-01 1.093884E+00
-9.650000E-01 1.082983E+00
-9.550000E-01 1.072195E+00
-9.450000E-01 1.061520E+00
-9.350000E-01 1.050956E+00
-9.250000E-01 1.040505E+00
-9.150000E-01 1.030167E+00
-9.050000E-01 1.019940E+00
-8.950000E-01 1.009826E+00
-8.850000E-01 9.998250E-01
-8.750000E-01 9.899359E-01
-8.650000E-01 9.801591E-01
-8.550000E-01 9.704948E-01
-8.450000E-01 9.609428E-01
-8.350000E-01 9.515032E-01
-8.250000E-01 9.421759E-01
-8.150000E-01 9.329611E-01
-8.050000E-01 9.238586E-01
-7.950000E-01 9.148685E-01
-7.850000E-01 9.059908E-01
-7.750000E-01 8.972254E-01
-7.650000E-01 8.885724E-01
-7.550000E-01 8.800319E-01
-7.450000E-01 8.716036E-01
-7.350000E-01 8.632878E-01
-7.250000E-01 8.550843E-01
-7.150000E-01 8.469932E-01
-7.050000E-01 8.390145E-01
-6.950000E-01 8.311482E-01
-6.850000E-01 8.233942E-01
-6.750000E-01 8.157526E-01
-6.650000E-01 8.082234E-01
-6.550000E-01 8.008066E-01
-6.450000E-01 7.935021E-01
-6.350000E-01 7.863100E-01
-6.250000E-01 7.792303E-01
-6.150000E-01 7.722630E-01
-6.050000E-01 7.654081E-01
-5.950000E-01 7.586655E-01
-5.850000E-01 7.520353E-01
-5.750000E-01 7.455174E-01
-5.650000E-01 7.391120E-01
-5.550000E-01 7.328189E-01
-5.450000E-01 7.266382E-01
-5.350000E-01 7.205699E-01
-5.250000E-01 7.146140E-01
-5.150000E-01 7.087704E-01
-5.050000E-01 7.030392E-01
-4.950000E-01 6.974204E-01
-4.850000E-01 6.919140E-01
-4.750000E-01 6.865199E-01
-4.650000E-01 6.812382E-01
-4.550000E-01 6.760689E-01
-4.450000E-01 6.710120E-01
-4.350000E-01 6.660674E-01
-4.250000E-01 6.612352E-01
-4.150000E-01 6.565154E-01
-4.050000E-01 6.519080E-01
-3.950000E-01 6.474130E-01
-3.850000E-01 6.430303E-01
-3.750000E-01 6.387600E-01
-3.650000E-01 6.346021E-01
-3.550000E-01 6.305565E-01
-3.450000E-01 6.266233E-01
-3.350000E-01 6.228026E-01
-3.250000E-01 6.190941E-01
-3.150000E-01 6.154981E-01
