 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 -3.533761E+00
-9.850000E-01 -3.498231E+00
-9.750000E-01 -3.462681E+00
-9.650000E-01 -3.427111E+00
-9.550000E-01 -3.391523E+00
-9.450000E-01 -3.355915E+00
-9.350000E-01 -3.320288E+00
-9.250000E-01 -3.284642E+00
-9.150000E-01 -3.248977E+00
-9.050000E-01 -3.213293E+00
-8.950000E-01 -3.177589E+00
-8.850000E-01 -3.141866E+00
-8.750000E-01 -3.106124E+00
-8.650000E-01 -3.070363E+00
-8.550000E-01 -3.034582E+00
-8.450000E-01 -2.998782E+00
-8.350000E-01 -2.962963E+00
-8.250000E-01 -2.927125E+00
-8.150000E-01 -2.891267E+00
-8.050000E-01 -2.855391E+00
-7.950000E-01 -2.819495E+00
-7.850000E-01 -2.783580E+00
-7.750000E-01 -2.747645E+00
-7.650000E-01 -2.711692E+00
-7.550000E-01 -2.675719E+00
-7.450000E-01 -2.639727E+00
-7.350000E-01 -2.603716E+00
-7.250000E-01 -2.567686E+00
-7.150000E-01 -2.531636E+00
-7.050000E-01 -2.495567E+00
-6.950000E-01 -2.459479E+00
-6.850000E-01 -2.423372E+00
-6.750000E-01 -2.387245E+00
-6.650000E-01 -2.351100E+00
-6.550000E-01 -2.314935E+00
-6.450000E-01 -2.278751E+00
-6.350000E-01 -2.242547E+00
-6.250000E-01 -2.206325E+00
-6.150000E-01 -2.170083E+00
-6.050000E-01 -2.133822E+00
-5.950000E-01 -2.097542E+00
-5.850000E-01 -2.061242E+00
-5.750000E-01 -2.024923E+00
-5.650000E-01 -1.988586E+00
-5.550000E-01 -1.952228E+00
-5.450000E-01 -1.915852E+00
-5.350000E-01 -1.879457E+00
-5.250000E-01 -1.843042E+00
-5.150000E-01 -1.806608E+00
-5.050000E-01 -1.770155E+00
-4.950000E-01 -1.733682E+00
-4.850000E-01 -1.697191E+00
-4.750000E-01 -1.660680E+00
-4.650000E-01 -1.624150E+00
-4.550000E-01 -1.587601E+00
-4.450000E-01 -1.551032E+00
-4.350000E-01 -1.514444E+00
-4.250000E-01 -1.477837E+00
-4.150000E-01 -1.441211E+00
-4.050000E-01 -1.404566E+00
-3.950000E-01 -1.367901E+00
-3.850000E-01 -1.331218E+00
-3.750000E-01 -1.294515E+00
-3.650000E-01 -1.257792E+00
-3.550000E-01 -1.221051E+00
