 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 3.026796E-07
-9.850000E-01 3.026796E-07
-9.750000E-01 3.026796E-07
-9.650000E-01 3.026796E-07
-9.550000E-01 3.026796E-07
-9.450000E-01 3.026796E-07
-9.350000E-01 3.026796E-07
-9.250000E-01 3.026796E-07
-9.150000E-01 3.026796E-07
-9.050000E-01 3.026796E-07
-8.950000E-01 3.026796E-07
-8.850000E-01 3.026796E-07
-8.750000E-01 3.026796E-07
-8.650000E-01 3.026796E-07
-8.550000E-01 3.026796E-07
-8.450000E-01 3.026796E-07
-8.350000E-01 3.026796E-07
-8.250000E-01 3.026796E-07
-8.150000E-01 3.026796E-07
-8.050000E-01 3.026796E-07
-7.950000E-01 3.026796E-07
-7.850000E-01 3.026796E-07
-7.750000E-01 3.026796E-07
-7.650000E-01 3.026796E-07
-7.550000E-01 3.026796E-07
-7.450000E-01 3.026796E-07
-7.350000E-01 3.026796E-07
-7.250000E-01 3.026796E-07
-7.150000E-01 3.026796E-07
-7.050000E-01 3.026796E-07
-6.950000E-01 3.026796E-07
-6.850000E-01 3.026796E-07
-6.750000E-01 3.026796E-07
-6.650000E-01 3.026796E-07
-6.550000E-01 3.026796E-07
-6.450000E-01 3.026796E-07
-6.350000E-01 3.026796E-07
-6.250000E-01 3.026796E-07
-6.150000E-01 3.026796E-07
-6.050000E-01 3.026796E-07
-5.950000E-01 3.026796E-07
-5.850000E-01 3.026796E-07
-5.750000E-01 3.026796E-07
-5.650000E-01 3.026796E-07
-5.550000E-01 3.026796E-07
-5.450000E-01 3.026796E-07
-5.350000E-01 3.026796E-07
-5.250000E-01 3.026796E-07
-5.150000E-01 3.026796E-07
-5.050000E-01 3.026796E-07
-4.950000E-01 3.026796E-07
-4.850000E-01 3.026796E-07
-4.750000E-01 3.026796E-07
-4.650000E-01 3.026796E-07
-4.550000E-01 3.026796E-07
-4.450000E-01 3.026796E-07
-4.350000E-01 3.026796E-07
-4.250000E-01 3.026796E-07
-4.150000E-01 3.026796E-07
-4.050000E-01 3.026796E-07
-3.950000E-01 3.026796E-07
-3.850000E-01 3.026796E-07
-3.750000E-01 3.026796E-07
-3.650000E-01 3.026796E-07
-3.550000E-01 3.026796E-07
-3.450000E-01 3.026796E-07
-3.350000E-01 3.026796E-07
-3.250000E-01 3.026796E-07
-3.150000E-01 3.026796E-07
