 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 3.986788E+00
-9.850000E-01 3.947000E+00
-9.750000E-01 3.907678E+00
-9.650000E-01 3.868823E+00
-9.550000E-01 3.830435E+00
-9.450000E-01 3.792513E+00
-9.350000E-01 3.755057E+00
-9.250000E-01 3.718069E+00
-9.150000E-01 3.681547E+00
-9.050000E-01 3.645491E+00
-8.950000E-01 3.609902E+00
-8.850000E-01 3.574780E+00
-8.750000E-01 3.540124E+00
-8.650000E-01 3.505935E+00
-8.550000E-01 3.472212E+00
-8.450000E-01 3.438956E+00
-8.350000E-01 3.406167E+00
-8.250000E-01 3.373844E+00
-8.150000E-01 3.341987E+00
-8.050000E-01 3.310598E+00
-7.950000E-01 3.279674E+00
-7.850000E-01 3.249218E+00
-7.750000E-01 3.219228E+00
-7.650000E-01 3.189704E+00
-7.550000E-01 3.160647E+00
-7.450000E-01 3.132057E+00
-7.350000E-01 3.103933E+00
-7.250000E-01 3.076276E+00
-7.150000E-01 3.049086E+00
-7.050000E-01 3.022362E+00
-6.950000E-01 2.996104E+00
-6.850000E-01 2.970313E+00
-6.750000E-01 2.944989E+00
-6.650000E-01 2.920132E+00
-6.550000E-01 2.895740E+00
-6.450000E-01 2.871816E+00
-6.350000E-01 2.848358E+00
-6.250000E-01 2.825367E+00
-6.150000E-01 2.802842E+00
-6.050000E-01 2.780784E+00
-5.950000E-01 2.759192E+00
-5.850000E-01 2.738067E+00
-5.750000E-01 2.717408E+00
-5.650000E-01 2.697217E+00
-5.550000E-01 2.677491E+00
-5.450000E-01 2.658232E+00
-5.350000E-01 2.639440E+00
-5.250000E-01 2.621115E+00
-5.150000E-01 2.603256E+00
-5.050000E-01 2.585863E+00
-4.950000E-01 2.568937E+00
-4.850000E-01 2.552478E+00
-4.750000E-01 2.536485E+00
-4.650000E-01 2.520959E+00
-4.550000E-01 2.505900E+00
-4.450000E-01 2.491307E+00
-4.350000E-01 2.477180E+00
-4.250000E-01 2.463520E+00
-4.150000E-01 2.450327E+00
-4.050000E-01 2.437601E+00
-3.950000E-01 2.425340E+00
-3.850000E-01 2.413547E+00
-3.750000E-01 2.402220E+00
-3.650000E-01 2.391360E+00
-3.550000E-01 2.380966E+00
-3.450000E-01 2.371039E+00
-3.350000E-01 2.361578E+00
-3.250000E-01 2.352584E+00
-3.150000E-01 2.344057E+00
