 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 1.569049E+00
-9.850000E-01 1.553666E+00
-9.750000E-01 1.538882E+00
-9.650000E-01 1.524695E+00
-9.550000E-01 1.511107E+00
-9.450000E-01 1.498117E+00
-9.350000E-01 1.485725E+00
-9.250000E-01 1.473932E+00
-9.150000E-01 1.462736E+00
-9.050000E-01 1.452139E+00
-8.950000E-01 1.442140E+00
-8.850000E-01 1.432739E+00
-8.750000E-01 1.423936E+00
-8.650000E-01 1.415732E+00
-8.550000E-01 1.408125E+00
-8.450000E-01 1.401117E+00
-8.350000E-01 1.394707E+00
-8.250000E-01 1.388895E+00
-8.150000E-01 1.383681E+00
-8.050000E-01 1.379066E+00
-7.950000E-01 1.375048E+00
-7.850000E-01 1.371629E+00
-7.750000E-01 1.368808E+00
-7.650000E-01 1.366585E+00
-7.550000E-01 1.364960E+00
-7.450000E-01 1.363934E+00
-7.350000E-01 1.363505E+00
-7.250000E-01 1.363675E+00
-7.150000E-01 1.364443E+00
-7.050000E-01 1.365809E+00
-6.950000E-01 1.367774E+00
-6.850000E-01 1.370336E+00
-6.750000E-01 1.373497E+00
-6.650000E-01 1.377256E+00
-6.550000E-01 1.381613E+00
-6.450000E-01 1.386568E+00
-6.350000E-01 1.392121E+00
-6.250000E-01 1.398273E+00
-6.150000E-01 1.405022E+00
-6.050000E-01 1.412370E+00
-5.950000E-01 1.420316E+00
-5.850000E-01 1.428860E+00
-5.750000E-01 1.438003E+00
-5.650000E-01 1.447743E+00
-5.550000E-01 1.458082E+00
-5.450000E-01 1.469019E+00
-5.350000E-01 1.480554E+00
-5.250000E-01 1.492687E+00
-5.150000E-01 1.505418E+00
-5.050000E-01 1.518748E+00
-4.950000E-01 1.532676E+00
-4.850000E-01 1.547202E+00
-4.750000E-01 1.562326E+00
-4.650000E-01 1.578048E+00
-4.550000E-01 1.594368E+00
-4.450000E-01 1.611287E+00
-4.350000E-01 1.628804E+00
-4.250000E-01 1.646919E+00
-4.150000E-01 1.665632E+00
-4.050000E-01 1.684943E+00
-3.950000E-01 1.704852E+00
-3.850000E-01 1.725360E+00
-3.750000E-01 1.746466E+00
-3.650000E-01 1.768170E+00
-3.550000E-01 1.790472E+00
-3.450000E-01 1.813372E+00
-3.350000E-01 1.836870E+00
-3.250000E-01 1.860967E+00
-3.150000E-01 1.885662E+00
