 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 4.708048E-02
-9.850000E-01 4.661107E-02
-9.750000E-01 4.614918E-02
-9.650000E-01 4.569481E-02
-9.550000E-01 4.524795E-02
-9.450000E-01 4.480862E-02
-9.350000E-01 4.437681E-02
-9.250000E-01 4.395252E-02
-9.150000E-01 4.353574E-02
-9.050000E-01 4.312649E-02
-8.950000E-01 4.272475E-02
-8.850000E-01 4.233054E-02
-8.750000E-01 4.194384E-02
-8.650000E-01 4.156466E-02
-8.550000E-01 4.119301E-02
-8.450000E-01 4.082887E-02
-8.350000E-01 4.047225E-02
-8.250000E-01 4.012315E-02
-8.150000E-01 3.978157E-02
-8.050000E-01 3.944751E-02
-7.950000E-01 3.912097E-02
-7.850000E-01 3.880194E-02
-7.750000E-01 3.849044E-02
-7.650000E-01 3.818646E-02
-7.550000E-01 3.788999E-02
-7.450000E-01 3.760105E-02
-7.350000E-01 3.731962E-02
-7.250000E-01 3.704572E-02
-7.150000E-01 3.677933E-02
-7.050000E-01 3.652046E-02
-6.950000E-01 3.626911E-02
-6.850000E-01 3.602529E-02
-6.750000E-01 3.578898E-02
-6.650000E-01 3.556019E-02
-6.550000E-01 3.533892E-02
-6.450000E-01 3.512516E-02
-6.350000E-01 3.491893E-02
-6.250000E-01 3.472022E-02
-6.150000E-01 3.452903E-02
-6.050000E-01 3.434535E-02
-5.950000E-01 3.416920E-02
-5.850000E-01 3.400056E-02
-5.750000E-01 3.383945E-02
-5.650000E-01 3.368585E-02
-5.550000E-01 3.353977E-02
-5.450000E-01 3.340122E-02
-5.350000E-01 3.327018E-02
-5.250000E-01 3.314666E-02
-5.150000E-01 3.303066E-02
-5.050000E-01 3.292218E-02
-4.950000E-01 3.282122E-02
-4.850000E-01 3.272778E-02
-4.750000E-01 3.264185E-02
-4.650000E-01 3.256345E-02
-4.550000E-01 3.249257E-02
-4.450000E-01 3.242920E-02
-4.350000E-01 3.237336E-02
-4.250000E-01 3.232503E-02
-4.150000E-01 3.228423E-02
-4.050000E-01 3.225094E-02
-3.950000E-01 3.222517E-02
-3.850000E-01 3.220692E-02
-3.750000E-01 3.219620E-02
-3.650000E-01 3.219299E-02
-3.550000E-01 3.219730E-02
-3.450000E-01 3.220913E-02
-3.350000E-01 3.222848E-02
-3.250000E-01 3.225534E-02
-3.150000E-01 3.228973E-02
