 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 5000.000000 N_points= 200
Asymmetry
1.000000E+01 -3.178608E-03
3.507538E+01 -2.425302E-01
6.015075E+01 -5.807369E-01
8.522613E+01 -3.525499E-02
1.103015E+02 3.756536E-01
1.353769E+02 5.146472E-01
1.604523E+02 5.683375E-01
1.855276E+02 5.932573E-01
2.106030E+02 6.065635E-01
2.356784E+02 6.144427E-01
2.607538E+02 6.194871E-01
2.858291E+02 6.229187E-01
3.109045E+02 6.253695E-01
3.359799E+02 6.271911E-01
3.610553E+02 6.285915E-01
3.861307E+02 6.296997E-01
4.112060E+02 6.305992E-01
4.362814E+02 6.313461E-01
4.613568E+02 6.319789E-01
4.864322E+02 6.325251E-01
5.115075E+02 6.330046E-01
5.365829E+02 6.334319E-01
5.616583E+02 6.338183E-01
5.867337E+02 6.341719E-01
6.118090E+02 6.344995E-01
6.368844E+02 6.348060E-01
6.619598E+02 6.350955E-01
6.870352E+02 6.353712E-01
7.121106E+02 6.356356E-01
7.371859E+02 6.358908E-01
7.622613E+02 6.361386E-01
7.873367E+02 6.363801E-01
8.124121E+02 6.366166E-01
8.374874E+02 6.368489E-01
8.625628E+02 6.370778E-01
8.876382E+02 6.373037E-01
9.127136E+02 6.375271E-01
9.377889E+02 6.377484E-01
9.628643E+02 6.379677E-01
9.879397E+02 6.381852E-01
1.013015E+03 6.384010E-01
1.038090E+03 6.386151E-01
1.063166E+03 6.388273E-01
1.088241E+03 6.390377E-01
1.113317E+03 6.392459E-01
1.138392E+03 6.394518E-01
1.163467E+03 6.396551E-01
1.188543E+03 6.398554E-01
1.213618E+03 6.400523E-01
1.238693E+03 6.402454E-01
1.263769E+03 6.404341E-01
1.288844E+03 6.406179E-01
1.313920E+03 6.407962E-01
1.338995E+03 6.409682E-01
1.364070E+03 6.411331E-01
1.389146E+03 6.412903E-01
1.414221E+03 6.414386E-01
1.439296E+03 6.415772E-01
1.464372E+03 6.417050E-01
1.489447E+03 6.418207E-01
1.514523E+03 6.419232E-01
1.539598E+03 6.420110E-01
1.564673E+03 6.420826E-01
1.589749E+03 6.421365E-01
1.614824E+03 6.421708E-01
1.639899E+03 6.421836E-01
1.664975E+03 6.421730E-01
1.690050E+03 6.421366E-01
1.715126E+03 6.420721E-01
1.740201E+03 6.419768E-01
1.765276E+03 6.418478E-01
1.790352E+03 6.416821E-01
1.815427E+03 6.414763E-01
1.840503E+03 6.412268E-01
1.865578E+03 6.409296E-01
1.890653E+03 6.405805E-01
1.915729E+03 6.401746E-01
1.940804E+03 6.397070E-01
1.965879E+03 6.391722E-01
1.990955E+03 6.385640E-01
2.016030E+03 6.378760E-01
2.041106E+03 6.371009E-01
2.066181E+03 6.362310E-01
2.091256E+03 6.352577E-01
2.116332E+03 6.341718E-01
2.141407E+03 6.329629E-01
2.166482E+03 6.316201E-01
2.191558E+03 6.301311E-01
2.216633E+03 6.284825E-01
2.241709E+03 6.266598E-01
2.266784E+03 6.246470E-01
2.291859E+03 6.224264E-01
2.316935E+03 6.199789E-01
2.342010E+03 6.172832E-01
2.367085E+03 6.143160E-01
2.392161E+03 6.110518E-01
2.417236E+03 6.074626E-01
2.442312E+03 6.035174E-01
2.467387E+03 5.991822E-01
2.492462E+03 5.944196E-01
2.517538E+03 5.891886E-01
2.542613E+03 5.834438E-01
2.567688E+03 5.771357E-01
2.592764E+03 5.702094E-01
2.617839E+03 5.626050E-01
2.642915E+03 5.542568E-01
2.667990E+03 5.450924E-01
2.693065E+03 5.350332E-01
2.718141E+03 5.239931E-01
2.743216E+03 5.118784E-01
2.768291E+03 4.985877E-01
2.793367E+03 4.840115E-01
2.818442E+03 4.680322E-01
2.843518E+03 4.505246E-01
2.868593E+03 4.313561E-01
2.893668E+03 4.103885E-01
2.918744E+03 3.874790E-01
2.943819E+03 3.624833E-01
2.968894E+03 3.352587E-01
2.993970E+03 3.056692E-01
3.019045E+03 2.735913E-01
3.044121E+03 2.389222E-01
3.069196E+03 2.015886E-01
3.094271E+03 1.615586E-01
3.119347E+03 1.188542E-01
3.144422E+03 7.356573E-02
3.169497E+03 2.586633E-02
3.194573E+03 -2.397382E-02
3.219648E+03 -7.557559E-02
3.244724E+03 -1.284430E-01
3.269799E+03 -1.819617E-01
3.294874E+03 -2.354054E-01
3.319950E+03 -2.879533E-01
3.345025E+03 -3.387173E-01
3.370101E+03 -3.867803E-01
3.395176E+03 -4.312418E-01
3.420251E+03 -4.712677E-01
3.445327E+03 -5.061390E-01
3.470402E+03 -5.352930E-01
3.495477E+03 -5.583538E-01
3.520553E+03 -5.751474E-01
3.545628E+03 -5.857001E-01
3.570704E+03 -5.902230E-01
3.595779E+03 -5.890841E-01
3.620854E+03 -5.827728E-01
3.645930E+03 -5.718619E-01
3.671005E+03 -5.569698E-01
3.696080E+03 -5.387276E-01
3.721156E+03 -5.177514E-01
3.746231E+03 -4.946221E-01
3.771307E+03 -4.698711E-01
3.796382E+03 -4.439724E-01
3.821457E+03 -4.173387E-01
3.846533E+03 -3.903226E-01
3.871608E+03 -3.632188E-01
3.896683E+03 -3.362693E-01
3.921759E+03 -3.096684E-01
3.946834E+03 -2.835688E-01
3.971910E+03 -2.580875E-01
3.996985E+03 -2.333112E-01
4.022060E+03 -2.093011E-01
