 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 200
Diff. cross section [pb]
-9.950000E-01 1.832030E-03
-9.850000E-01 1.813771E-03
-9.750000E-01 1.795820E-03
-9.650000E-01 1.778176E-03
-9.550000E-01 1.760839E-03
-9.450000E-01 1.743809E-03
-9.350000E-01 1.727086E-03
-9.250000E-01 1.710671E-03
-9.150000E-01 1.694563E-03
-9.050000E-01 1.678762E-03
-8.950000E-01 1.663268E-03
-8.850000E-01 1.648081E-03
-8.750000E-01 1.633202E-03
-8.650000E-01 1.618629E-03
-8.550000E-01 1.604364E-03
-8.450000E-01 1.590406E-03
-8.350000E-01 1.576755E-03
-8.250000E-01 1.563412E-03
-8.150000E-01 1.550375E-03
-8.050000E-01 1.537646E-03
-7.950000E-01 1.525224E-03
-7.850000E-01 1.513109E-03
-7.750000E-01 1.501301E-03
-7.650000E-01 1.489800E-03
-7.550000E-01 1.478607E-03
-7.450000E-01 1.467720E-03
-7.350000E-01 1.457141E-03
-7.250000E-01 1.446869E-03
-7.150000E-01 1.436905E-03
-7.050000E-01 1.427247E-03
-6.950000E-01 1.417897E-03
-6.850000E-01 1.408854E-03
-6.750000E-01 1.400117E-03
-6.650000E-01 1.391689E-03
-6.550000E-01 1.383567E-03
-6.450000E-01 1.375752E-03
-6.350000E-01 1.368245E-03
-6.250000E-01 1.361045E-03
-6.150000E-01 1.354152E-03
-6.050000E-01 1.347566E-03
-5.950000E-01 1.341287E-03
-5.850000E-01 1.335316E-03
-5.750000E-01 1.329652E-03
-5.650000E-01 1.324295E-03
-5.550000E-01 1.319245E-03
-5.450000E-01 1.314502E-03
-5.350000E-01 1.310066E-03
-5.250000E-01 1.305938E-03
-5.150000E-01 1.302117E-03
-5.050000E-01 1.298602E-03
-4.950000E-01 1.295396E-03
-4.850000E-01 1.292496E-03
-4.750000E-01 1.289903E-03
-4.650000E-01 1.287618E-03
-4.550000E-01 1.285640E-03
-4.450000E-01 1.283969E-03
-4.350000E-01 1.282605E-03
-4.250000E-01 1.281548E-03
-4.150000E-01 1.280799E-03
-4.050000E-01 1.280356E-03
-3.950000E-01 1.280221E-03
-3.850000E-01 1.280393E-03
-3.750000E-01 1.280872E-03
-3.650000E-01 1.281659E-03
-3.550000E-01 1.282752E-03
-3.450000E-01 1.284153E-03
-3.350000E-01 1.285861E-03
-3.250000E-01 1.287876E-03
-3.150000E-01 1.290198E-03
