 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 5000.000000 N_points= 200
Cross Section [pb]
1.000000E+01 1.197772E+02
3.507538E+01 2.793876E+01
6.015075E+01 1.731929E+01
8.522613E+01 3.440412E+02
1.103015E+02 4.856357E+01
1.353769E+02 1.224273E+01
1.604523E+02 6.174035E+00
1.855276E+02 3.892952E+00
2.106030E+02 2.735528E+00
2.356784E+02 2.049529E+00
2.607538E+02 1.602573E+00
2.858291E+02 1.292178E+00
3.109045E+02 1.066457E+00
3.359799E+02 8.964695E-01
3.610553E+02 7.648796E-01
3.861307E+02 6.607143E-01
4.112060E+02 5.767180E-01
4.362814E+02 5.079192E-01
4.613568E+02 4.508088E-01
4.864322E+02 4.028472E-01
5.115075E+02 3.621565E-01
5.365829E+02 3.273221E-01
5.616583E+02 2.972604E-01
5.867337E+02 2.711297E-01
6.118090E+02 2.482675E-01
6.368844E+02 2.281460E-01
6.619598E+02 2.103409E-01
6.870352E+02 1.945071E-01
7.121106E+02 1.803622E-01
7.371859E+02 1.676727E-01
7.622613E+02 1.562443E-01
7.873367E+02 1.459143E-01
8.124121E+02 1.365456E-01
8.374874E+02 1.280217E-01
8.625628E+02 1.202437E-01
8.876382E+02 1.131264E-01
9.127136E+02 1.065967E-01
9.377889E+02 1.005913E-01
9.628643E+02 9.505535E-02
9.879397E+02 8.994082E-02
1.013015E+03 8.520579E-02
1.038090E+03 8.081344E-02
1.063166E+03 7.673130E-02
1.088241E+03 7.293068E-02
1.113317E+03 6.938612E-02
1.138392E+03 6.607501E-02
1.163467E+03 6.297715E-02
1.188543E+03 6.007450E-02
1.213618E+03 5.735090E-02
1.238693E+03 5.479183E-02
1.263769E+03 5.238419E-02
1.288844E+03 5.011618E-02
1.313920E+03 4.797713E-02
1.338995E+03 4.595737E-02
1.364070E+03 4.404811E-02
1.389146E+03 4.224136E-02
1.414221E+03 4.052986E-02
1.439296E+03 3.890695E-02
1.464372E+03 3.736656E-02
1.489447E+03 3.590313E-02
1.514523E+03 3.451157E-02
1.539598E+03 3.318719E-02
1.564673E+03 3.192568E-02
1.589749E+03 3.072307E-02
1.614824E+03 2.957572E-02
1.639899E+03 2.848023E-02
1.664975E+03 2.743349E-02
1.690050E+03 2.643260E-02
1.715126E+03 2.547490E-02
1.740201E+03 2.455789E-02
1.765276E+03 2.367926E-02
1.790352E+03 2.283688E-02
1.815427E+03 2.202875E-02
