 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 4000.000000 N_points= 200
Asymmetry
1.000000E+01 -3.179450E-03
3.005025E+01 -1.694083E-01
5.010050E+01 -5.013915E-01
7.015075E+01 -4.461179E-01
9.020101E+01 8.228414E-02
1.102513E+02 3.752276E-01
1.303015E+02 4.967447E-01
1.503518E+02 5.520079E-01
1.704020E+02 5.804543E-01
1.904523E+02 5.966869E-01
2.105025E+02 6.067318E-01
2.305528E+02 6.133580E-01
2.506030E+02 6.179598E-01
2.706533E+02 6.212932E-01
2.907035E+02 6.237945E-01
3.107538E+02 6.257288E-01
3.308040E+02 6.272641E-01
3.508543E+02 6.285111E-01
3.709045E+02 6.295450E-01
3.909548E+02 6.304181E-01
4.110050E+02 6.311681E-01
4.310553E+02 6.318222E-01
4.511055E+02 6.324008E-01
4.711558E+02 6.329194E-01
4.912060E+02 6.333897E-01
5.112563E+02 6.338209E-01
5.313065E+02 6.342201E-01
5.513568E+02 6.345931E-01
5.714070E+02 6.349445E-01
5.914573E+02 6.352779E-01
6.115075E+02 6.355962E-01
6.315578E+02 6.359019E-01
6.516080E+02 6.361970E-01
6.716583E+02 6.364830E-01
6.917085E+02 6.367613E-01
7.117588E+02 6.370328E-01
7.318090E+02 6.372985E-01
7.518593E+02 6.375590E-01
7.719095E+02 6.378148E-01
7.919598E+02 6.380663E-01
8.120101E+02 6.383137E-01
8.320603E+02 6.385572E-01
8.521106E+02 6.387968E-01
8.721608E+02 6.390326E-01
8.922111E+02 6.392644E-01
9.122613E+02 6.394919E-01
9.323116E+02 6.397150E-01
9.523618E+02 6.399332E-01
9.724121E+02 6.401463E-01
9.924623E+02 6.403535E-01
1.012513E+03 6.405545E-01
1.032563E+03 6.407485E-01
1.052613E+03 6.409348E-01
1.072663E+03 6.411126E-01
1.092714E+03 6.412810E-01
1.112764E+03 6.414390E-01
1.132814E+03 6.415855E-01
1.152864E+03 6.417193E-01
1.172915E+03 6.418391E-01
1.192965E+03 6.419435E-01
1.213015E+03 6.420309E-01
1.233065E+03 6.420996E-01
1.253116E+03 6.421477E-01
1.273166E+03 6.421733E-01
1.293216E+03 6.421741E-01
1.313266E+03 6.421478E-01
1.333317E+03 6.420918E-01
1.353367E+03 6.420032E-01
1.373417E+03 6.418790E-01
1.393467E+03 6.417159E-01
1.413518E+03 6.415101E-01
1.433568E+03 6.412579E-01
1.453618E+03 6.409547E-01
1.473668E+03 6.405960E-01
1.493719E+03 6.401766E-01
1.513769E+03 6.396910E-01
1.533819E+03 6.391329E-01
1.553869E+03 6.384959E-01
1.573920E+03 6.377725E-01
1.593970E+03 6.369549E-01
1.614020E+03 6.360343E-01
1.634070E+03 6.350012E-01
1.654121E+03 6.338451E-01
1.674171E+03 6.325547E-01
1.694221E+03 6.311174E-01
1.714271E+03 6.295193E-01
1.734322E+03 6.277455E-01
1.754372E+03 6.257792E-01
1.774422E+03 6.236022E-01
1.794472E+03 6.211944E-01
1.814523E+03 6.185337E-01
1.834573E+03 6.155958E-01
1.854623E+03 6.123536E-01
1.874673E+03 6.087778E-01
1.894724E+03 6.048357E-01
1.914774E+03 6.004912E-01
1.934824E+03 5.957047E-01
1.954874E+03 5.904324E-01
1.974925E+03 5.846261E-01
1.994975E+03 5.782325E-01
2.015025E+03 5.711929E-01
2.035075E+03 5.634428E-01
2.055126E+03 5.549110E-01
2.075176E+03 5.455194E-01
2.095226E+03 5.351826E-01
2.115276E+03 5.238069E-01
2.135327E+03 5.112901E-01
2.155377E+03 4.975213E-01
