 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Cross Section [pb]
1.000000E+01 2.484148E+02
1.095477E+01 2.332411E+02
1.190955E+01 2.099309E+02
1.286432E+01 1.865771E+02
1.381910E+01 1.654415E+02
1.477387E+01 1.469790E+02
1.572864E+01 1.310557E+02
1.668342E+01 1.173669E+02
1.763819E+01 1.055855E+02
1.859296E+01 9.541223E+01
1.954774E+01 8.659008E+01
2.050251E+01 7.890359E+01
2.145729E+01 7.217435E+01
2.241206E+01 6.625516E+01
2.336683E+01 6.102457E+01
2.432161E+01 5.638213E+01
2.527638E+01 5.224447E+01
2.623116E+01 4.854208E+01
2.718593E+01 4.521677E+01
2.814070E+01 4.221958E+01
2.909548E+01 3.950913E+01
3.005025E+01 3.705027E+01
3.100503E+01 3.481302E+01
3.195980E+01 3.277169E+01
3.291457E+01 3.090417E+01
3.386935E+01 2.919139E+01
3.482412E+01 2.761677E+01
3.577889E+01 2.616590E+01
3.673367E+01 2.482619E+01
3.768844E+01 2.358660E+01
3.864322E+01 2.243742E+01
3.959799E+01 2.137010E+01
4.055276E+01 2.037706E+01
4.150754E+01 1.945157E+01
4.246231E+01 1.858766E+01
4.341709E+01 1.777998E+01
4.437186E+01 1.702378E+01
4.532663E+01 1.631477E+01
4.628141E+01 1.564911E+01
4.723618E+01 1.502335E+01
4.819095E+01 1.443436E+01
4.914573E+01 1.387931E+01
5.010050E+01 1.335566E+01
5.105528E+01 1.286107E+01
5.201005E+01 1.239345E+01
5.296482E+01 1.195086E+01
5.391960E+01 1.153155E+01
5.487437E+01 1.113392E+01
5.582915E+01 1.075650E+01
5.678392E+01 1.039794E+01
5.773869E+01 1.005701E+01
5.869347E+01 9.732575E+00
5.964824E+01 9.423583E+00
6.060302E+01 9.129071E+00
6.155779E+01 8.848150E+00
6.251256E+01 8.579996E+00
6.346734E+01 8.323847E+00
6.442211E+01 8.078997E+00
6.537688E+01 7.844792E+00
6.633166E+01 7.620624E+00
6.728643E+01 7.405927E+00
6.824121E+01 7.200175E+00
6.919598E+01 7.002879E+00
7.015075E+01 6.813581E+00
7.110553E+01 6.631854E+00
7.206030E+01 6.457302E+00
7.301508E+01 6.289550E+00
7.396985E+01 6.128251E+00
7.492462E+01 5.973077E+00
7.587940E+01 5.823723E+00
7.683417E+01 5.679900E+00
7.778894E+01 5.541340E+00
7.874372E+01 5.407788E+00
7.969849E+01 5.279006E+00
8.065327E+01 5.154771E+00
8.160804E+01 5.034869E+00
8.256281E+01 4.919102E+00
8.351759E+01 4.807282E+00
8.447236E+01 4.699232E+00
8.542714E+01 4.594784E+00
8.638191E+01 4.493780E+00
8.733668E+01 4.396070E+00
8.829146E+01 4.301512E+00
8.924623E+01 4.209972E+00
9.020101E+01 4.121324E+00
9.115578E+01 4.035446E+00
9.211055E+01 3.952224E+00
9.306533E+01 3.871551E+00
9.402010E+01 3.793322E+00
9.497487E+01 3.717441E+00
9.592965E+01 3.643813E+00
9.688442E+01 3.572352E+00
9.783920E+01 3.502972E+00
9.879397E+01 3.435594E+00
9.974874E+01 3.370142E+00
1.007035E+02 3.306542E+00
1.016583E+02 3.244725E+00
1.026131E+02 3.184626E+00
1.035678E+02 3.126182E+00
1.045226E+02 3.069331E+00
1.054774E+02 3.014017E+00
1.064322E+02 2.960185E+00
1.073869E+02 2.907783E+00
1.083417E+02 2.856759E+00
1.092965E+02 2.807067E+00
1.102513E+02 2.758660E+00
1.112060E+02 2.711495E+00
1.121608E+02 2.665529E+00
1.131156E+02 2.620722E+00
1.140704E+02 2.577035E+00
1.150251E+02 2.534432E+00
1.159799E+02 2.492876E+00
1.169347E+02 2.452334E+00
1.178894E+02 2.412773E+00
1.188442E+02 2.374162E+00
1.197990E+02 2.336470E+00
1.207538E+02 2.299669E+00
1.217085E+02 2.263730E+00
1.226633E+02 2.228628E+00
1.236181E+02 2.194335E+00
1.245729E+02 2.160828E+00
1.255276E+02 2.128082E+00
1.264824E+02 2.096076E+00
1.274372E+02 2.064786E+00
1.283920E+02 2.034191E+00
1.293467E+02 2.004271E+00
1.303015E+02 1.975007E+00
1.312563E+02 1.946379E+00
1.322111E+02 1.918369E+00
1.331658E+02 1.890959E+00
1.341206E+02 1.864132E+00
1.350754E+02 1.837873E+00
1.360302E+02 1.812164E+00
1.369849E+02 1.786991E+00
1.379397E+02 1.762339E+00
1.388945E+02 1.738193E+00
1.398492E+02 1.714541E+00
1.408040E+02 1.691368E+00
1.417588E+02 1.668661E+00
1.427136E+02 1.646409E+00
1.436683E+02 1.624599E+00
1.446231E+02 1.603219E+00
1.455779E+02 1.582259E+00
1.465327E+02 1.561707E+00
1.474874E+02 1.541552E+00
1.484422E+02 1.521786E+00
1.493970E+02 1.502397E+00
1.503518E+02 1.483377E+00
1.513065E+02 1.464715E+00
1.522613E+02 1.446403E+00
1.532161E+02 1.428433E+00
1.541709E+02 1.410795E+00
1.551256E+02 1.393482E+00
1.560804E+02 1.376486E+00
