 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Cross Section [pb]
1.000000E+01 -3.258327E-01
1.095477E+01 -3.680327E-01
1.190955E+01 -3.925528E-01
1.286432E+01 -4.082441E-01
1.381910E+01 -4.190340E-01
1.477387E+01 -4.269222E-01
1.572864E+01 -4.330179E-01
1.668342E+01 -4.379752E-01
1.763819E+01 -4.421988E-01
1.859296E+01 -4.459484E-01
1.954774E+01 -4.493971E-01
2.050251E+01 -4.526630E-01
2.145729E+01 -4.558294E-01
2.241206E+01 -4.589562E-01
2.336683E+01 -4.620881E-01
2.432161E+01 -4.652588E-01
2.527638E+01 -4.684950E-01
2.623116E+01 -4.718178E-01
2.718593E+01 -4.752451E-01
2.814070E+01 -4.787919E-01
2.909548E+01 -4.824716E-01
3.005025E+01 -4.862962E-01
3.100503E+01 -4.902772E-01
3.195980E+01 -4.944254E-01
3.291457E+01 -4.987514E-01
3.386935E+01 -5.032658E-01
3.482412E+01 -5.079794E-01
3.577889E+01 -5.129033E-01
3.673367E+01 -5.180488E-01
3.768844E+01 -5.234281E-01
3.864322E+01 -5.290537E-01
3.959799E+01 -5.349391E-01
4.055276E+01 -5.410985E-01
4.150754E+01 -5.475472E-01
4.246231E+01 -5.543016E-01
4.341709E+01 -5.613792E-01
4.437186E+01 -5.687990E-01
4.532663E+01 -5.765815E-01
4.628141E+01 -5.847489E-01
4.723618E+01 -5.933253E-01
4.819095E+01 -6.023370E-01
4.914573E+01 -6.118125E-01
5.010050E+01 -6.217830E-01
5.105528E+01 -6.322828E-01
5.201005E+01 -6.433494E-01
5.296482E+01 -6.550239E-01
5.391960E+01 -6.673519E-01
5.487437E+01 -6.803836E-01
5.582915E+01 -6.941746E-01
5.678392E+01 -7.087866E-01
5.773869E+01 -7.242886E-01
5.869347E+01 -7.407572E-01
5.964824E+01 -7.582786E-01
6.060302E+01 -7.769495E-01
6.155779E+01 -7.968791E-01
6.251256E+01 -8.181909E-01
6.346734E+01 -8.410253E-01
6.442211E+01 -8.655427E-01
6.537688E+01 -8.919266E-01
6.633166E+01 -9.203888E-01
6.728643E+01 -9.511741E-01
6.824121E+01 -9.845678E-01
6.919598E+01 -1.020904E+00
7.015075E+01 -1.060576E+00
7.110553E+01 -1.104050E+00
7.206030E+01 -1.151885E+00
7.301508E+01 -1.204755E+00
7.396985E+01 -1.263476E+00
7.492462E+01 -1.329055E+00
7.587940E+01 -1.402739E+00
7.683417E+01 -1.486096E+00
7.778894E+01 -1.581124E+00
7.874372E+01 -1.690403E+00
7.969849E+01 -1.817325E+00
8.065327E+01 -1.966434E+00
8.160804E+01 -2.143946E+00
8.256281E+01 -2.358574E+00
8.351759E+01 -2.622867E+00
8.447236E+01 -2.955453E+00
8.542714E+01 -3.384881E+00
8.638191E+01 -3.956150E+00
8.733668E+01 -4.740477E+00
8.829146E+01 -5.837923E+00
8.924623E+01 -7.259805E+00
9.020101E+01 -7.722387E+00
9.115578E+01 -4.050119E-01
9.211055E+01 7.609541E+00
9.306533E+01 7.296015E+00
9.402010E+01 5.801505E+00
9.497487E+01 4.644972E+00
9.592965E+01 3.823774E+00
9.688442E+01 3.229349E+00
9.783920E+01 2.784749E+00
9.879397E+01 2.441774E+00
9.974874E+01 2.170081E+00
1.007035E+02 1.949996E+00
1.016583E+02 1.768338E+00
1.026131E+02 1.615995E+00
1.035678E+02 1.486491E+00
1.045226E+02 1.375105E+00
1.054774E+02 1.278325E+00
1.064322E+02 1.193483E+00
1.073869E+02 1.118520E+00
1.083417E+02 1.051822E+00
1.092965E+02 9.921067E-01
1.102513E+02 9.383419E-01
1.112060E+02 8.896892E-01
1.121608E+02 8.454597E-01
1.131156E+02 8.050826E-01
1.140704E+02 7.680808E-01
1.150251E+02 7.340525E-01
1.159799E+02 7.026571E-01
1.169347E+02 6.736041E-01
1.178894E+02 6.466438E-01
1.188442E+02 6.215609E-01
1.197990E+02 5.981683E-01
1.207538E+02 5.763030E-01
1.217085E+02 5.558224E-01
1.226633E+02 5.366009E-01
1.236181E+02 5.185275E-01
1.245729E+02 5.015041E-01
1.255276E+02 4.854431E-01
1.264824E+02 4.702667E-01
1.274372E+02 4.559049E-01
1.283920E+02 4.422950E-01
1.293467E+02 4.293807E-01
1.303015E+02 4.171110E-01
1.312563E+02 4.054397E-01
1.322111E+02 3.943251E-01
1.331658E+02 3.837290E-01
1.341206E+02 3.736168E-01
1.350754E+02 3.639569E-01
1.360302E+02 3.547202E-01
1.369849E+02 3.458803E-01
1.379397E+02 3.374126E-01
1.388945E+02 3.292948E-01
1.398492E+02 3.215062E-01
1.408040E+02 3.140277E-01
1.417588E+02 3.068415E-01
1.427136E+02 2.999315E-01
1.436683E+02 2.932823E-01
1.446231E+02 2.868800E-01
1.455779E+02 2.807115E-01
1.465327E+02 2.747644E-01
1.474874E+02 2.690276E-01
1.484422E+02 2.634904E-01
1.493970E+02 2.581429E-01
1.503518E+02 2.529758E-01
1.513065E+02 2.479804E-01
