 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Cross Section [pb]
1.000000E+01 8.591990E-11
1.095477E+01 1.688621E-10
1.190955E+01 2.679261E-10
1.286432E+01 3.810891E-10
1.381910E+01 5.073083E-10
1.477387E+01 6.460300E-10
1.572864E+01 7.969788E-10
1.668342E+01 9.600527E-10
1.763819E+01 1.135266E-09
1.859296E+01 1.322718E-09
1.954774E+01 1.522569E-09
2.050251E+01 1.735032E-09
2.145729E+01 1.960364E-09
2.241206E+01 2.198860E-09
2.336683E+01 2.450848E-09
2.432161E+01 2.716693E-09
2.527638E+01 2.996791E-09
2.623116E+01 3.291568E-09
2.718593E+01 3.601487E-09
2.814070E+01 3.927041E-09
2.909548E+01 4.268757E-09
3.005025E+01 4.627201E-09
3.100503E+01 5.002972E-09
3.195980E+01 5.396709E-09
3.291457E+01 5.809094E-09
3.386935E+01 6.240848E-09
3.482412E+01 6.692741E-09
3.577889E+01 7.165589E-09
3.673367E+01 7.660259E-09
3.768844E+01 8.177673E-09
3.864322E+01 8.718810E-09
3.959799E+01 9.284711E-09
4.055276E+01 9.876483E-09
4.150754E+01 1.049530E-08
4.246231E+01 1.114241E-08
4.341709E+01 1.181916E-08
4.437186E+01 1.252694E-08
4.532663E+01 1.326728E-08
4.628141E+01 1.404178E-08
4.723618E+01 1.485215E-08
4.819095E+01 1.570022E-08
4.914573E+01 1.658794E-08
5.010050E+01 1.751739E-08
5.105528E+01 1.849080E-08
5.201005E+01 1.951055E-08
5.296482E+01 2.057917E-08
5.391960E+01 2.169940E-08
5.487437E+01 2.287417E-08
5.582915E+01 2.410659E-08
5.678392E+01 2.540004E-08
5.773869E+01 2.675813E-08
5.869347E+01 2.818474E-08
5.964824E+01 2.968406E-08
6.060302E+01 3.126060E-08
6.155779E+01 3.291921E-08
6.251256E+01 3.466514E-08
6.346734E+01 3.650406E-08
6.442211E+01 3.844211E-08
6.537688E+01 4.048592E-08
6.633166E+01 4.264271E-08
6.728643E+01 4.492030E-08
6.824121E+01 4.732719E-08
6.919598E+01 4.987265E-08
7.015075E+01 5.256677E-08
7.110553E+01 5.542056E-08
7.206030E+01 5.844607E-08
7.301508E+01 6.165649E-08
7.396985E+01 6.506628E-08
7.492462E+01 6.869132E-08
7.587940E+01 7.254909E-08
7.683417E+01 7.665884E-08
7.778894E+01 8.104186E-08
7.874372E+01 8.572165E-08
7.969849E+01 9.072432E-08
8.065327E+01 9.607881E-08
8.160804E+01 1.018174E-07
8.256281E+01 1.079760E-07
8.351759E+01 1.145950E-07
8.447236E+01 1.217193E-07
8.542714E+01 1.293998E-07
8.638191E+01 1.376935E-07
8.733668E+01 1.466649E-07
8.829146E+01 1.563874E-07
8.924623E+01 1.669440E-07
9.020101E+01 1.784297E-07
9.115578E+01 1.909531E-07
9.211055E+01 2.046391E-07
9.306533E+01 2.196316E-07
9.402010E+01 2.360972E-07
9.497487E+01 2.542298E-07
9.592965E+01 2.742558E-07
9.688442E+01 2.964410E-07
9.783920E+01 3.210991E-07
9.879397E+01 3.486022E-07
9.974874E+01 3.793948E-07
1.007035E+02 4.140103E-07
1.016583E+02 4.530944E-07
1.026131E+02 4.974333E-07
1.035678E+02 5.479931E-07
1.045226E+02 6.059701E-07
1.054774E+02 6.728608E-07
1.064322E+02 7.505560E-07
1.073869E+02 8.414717E-07
1.083417E+02 9.487343E-07
1.092965E+02 1.076446E-06
1.102513E+02 1.230071E-06
1.112060E+02 1.417019E-06
1.121608E+02 1.647533E-06
1.131156E+02 1.936092E-06
1.140704E+02 2.303698E-06
1.150251E+02 2.781735E-06
1.159799E+02 3.418778E-06
1.169347E+02 4.293236E-06
1.178894E+02 5.538323E-06
1.188442E+02 7.395252E-06
1.197990E+02 1.033799E-05
1.207538E+02 1.540498E-05
1.217085E+02 2.524817E-05
1.226633E+02 4.842604E-05
1.236181E+02 1.267260E-04
1.245729E+02 8.452855E-04
1.255276E+02 2.598199E-03
1.264824E+02 1.865383E-04
1.274372E+02 6.257725E-05
1.283920E+02 3.113576E-05
1.293467E+02 1.863889E-05
1.303015E+02 1.242772E-05
1.312563E+02 8.893072E-06
1.322111E+02 6.689477E-06
1.331658E+02 5.222333E-06
1.341206E+02 4.195742E-06
1.350754E+02 3.448916E-06
1.360302E+02 2.888338E-06
1.369849E+02 2.456595E-06
1.379397E+02 2.116841E-06
1.388945E+02 1.844544E-06
1.398492E+02 1.622854E-06
1.408040E+02 1.439884E-06
1.417588E+02 1.287051E-06
1.427136E+02 1.158032E-06
1.436683E+02 1.048085E-06
1.446231E+02 9.535949E-07
1.455779E+02 8.717678E-07
1.465327E+02 8.004159E-07
1.474874E+02 7.378062E-07
1.484422E+02 6.825512E-07
1.493970E+02 6.335294E-07
1.503518E+02 5.898261E-07
1.513065E+02 5.506893E-07
1.522613E+02 5.154961E-07
1.532161E+02 4.837268E-07
1.541709E+02 4.549449E-07
1.551256E+02 4.287819E-07
1.560804E+02 4.049247E-07
