 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Cross Section [pb]
1.000000E+01 2.878559E-02
1.095477E+01 4.471137E-02
1.190955E+01 6.241020E-02
1.286432E+01 8.195765E-02
1.381910E+01 1.033972E-01
1.477387E+01 1.267742E-01
1.572864E+01 1.521425E-01
1.668342E+01 1.795651E-01
1.763819E+01 2.091147E-01
1.859296E+01 2.408731E-01
1.954774E+01 2.749316E-01
2.050251E+01 3.113912E-01
2.145729E+01 3.503626E-01
2.241206E+01 3.919670E-01
2.336683E+01 4.363368E-01
2.432161E+01 4.836161E-01
2.527638E+01 5.339616E-01
2.623116E+01 5.875438E-01
2.718593E+01 6.445481E-01
2.814070E+01 7.051758E-01
2.909548E+01 7.696458E-01
3.005025E+01 8.381962E-01
3.100503E+01 9.110861E-01
3.195980E+01 9.885974E-01
3.291457E+01 1.071037E+00
3.386935E+01 1.158741E+00
3.482412E+01 1.252074E+00
3.577889E+01 1.351436E+00
3.673367E+01 1.457265E+00
3.768844E+01 1.570038E+00
3.864322E+01 1.690281E+00
3.959799E+01 1.818570E+00
4.055276E+01 1.955540E+00
4.150754E+01 2.101888E+00
4.246231E+01 2.258386E+00
4.341709E+01 2.425883E+00
4.437186E+01 2.605324E+00
4.532663E+01 2.797752E+00
4.628141E+01 3.004329E+00
4.723618E+01 3.226349E+00
4.819095E+01 3.465254E+00
4.914573E+01 3.722659E+00
5.010050E+01 4.000373E+00
5.105528E+01 4.300428E+00
5.201005E+01 4.625117E+00
5.296482E+01 4.977027E+00
5.391960E+01 5.359091E+00
5.487437E+01 5.774641E+00
5.582915E+01 6.227475E+00
5.678392E+01 6.721941E+00
5.773869E+01 7.263024E+00
5.869347E+01 7.856471E+00
5.964824E+01 8.508928E+00
6.060302E+01 9.228114E+00
6.155779E+01 1.002303E+01
6.251256E+01 1.090424E+01
6.346734E+01 1.188416E+01
6.442211E+01 1.297753E+01
6.537688E+01 1.420186E+01
6.633166E+01 1.557817E+01
6.728643E+01 1.713178E+01
6.824121E+01 1.889347E+01
6.919598E+01 2.090090E+01
7.015075E+01 2.320052E+01
7.110553E+01 2.585019E+01
7.206030E+01 2.892262E+01
7.301508E+01 3.251022E+01
7.396985E+01 3.673178E+01
7.492462E+01 4.174200E+01
7.587940E+01 4.774522E+01
7.683417E+01 5.501575E+01
7.778894E+01 6.392842E+01
7.874372E+01 7.500592E+01
7.969849E+01 8.899407E+01
8.065327E+01 1.069856E+02
8.160804E+01 1.306313E+02
8.256281E+01 1.625162E+02
8.351759E+01 2.068643E+02
8.447236E+01 2.709404E+02
8.542714E+01 3.680454E+02
8.638191E+01 5.244906E+02
8.733668E+01 7.976044E+02
8.829146E+01 1.327952E+03
8.924623E+01 2.504282E+03
9.020101E+01 5.327354E+03
9.115578E+01 8.802297E+03
9.211055E+01 5.792704E+03
9.306533E+01 2.772877E+03
9.402010E+01 1.484366E+03
9.497487E+01 9.024834E+02
9.592965E+01 6.023424E+02
9.688442E+01 4.297908E+02
9.783920E+01 3.221198E+02
9.879397E+01 2.506076E+02
9.974874E+01 2.007462E+02
1.007035E+02 1.646088E+02
1.016583E+02 1.375807E+02
1.026131E+02 1.168326E+02
1.035678E+02 1.005529E+02
1.045226E+02 8.753932E+01
1.054774E+02 7.696827E+01
1.064322E+02 6.826071E+01
1.073869E+02 6.099978E+01
1.083417E+02 5.487924E+01
1.092965E+02 4.966999E+01
1.102513E+02 4.519789E+01
1.112060E+02 4.132862E+01
1.121608E+02 3.795724E+01
1.131156E+02 3.500079E+01
1.140704E+02 3.239296E+01
1.150251E+02 3.008025E+01
1.159799E+02 2.801911E+01
1.169347E+02 2.617375E+01
1.178894E+02 2.451460E+01
1.188442E+02 2.301699E+01
1.197990E+02 2.166025E+01
1.207538E+02 2.042692E+01
1.217085E+02 1.930221E+01
1.226633E+02 1.827346E+01
1.236181E+02 1.732986E+01
1.245729E+02 1.646205E+01
1.255276E+02 1.566196E+01
1.264824E+02 1.492257E+01
1.274372E+02 1.423776E+01
1.283920E+02 1.360215E+01
1.293467E+02 1.301104E+01
1.303015E+02 1.246026E+01
1.312563E+02 1.194613E+01
1.322111E+02 1.146540E+01
1.331658E+02 1.101516E+01
1.341206E+02 1.059281E+01
1.350754E+02 1.019604E+01
1.360302E+02 9.822761E+00
1.369849E+02 9.471109E+00
1.379397E+02 9.139397E+00
1.388945E+02 8.826102E+00
1.398492E+02 8.529845E+00
1.408040E+02 8.249377E+00
1.417588E+02 7.983562E+00
1.427136E+02 7.731366E+00
1.436683E+02 7.491846E+00
1.446231E+02 7.264139E+00
1.455779E+02 7.047457E+00
1.465327E+02 6.841077E+00
1.474874E+02 6.644334E+00
1.484422E+02 6.456619E+00
1.493970E+02 6.277369E+00
1.503518E+02 6.106066E+00
1.513065E+02 5.942231E+00
1.522613E+02 5.785422E+00
1.532161E+02 5.635228E+00
1.541709E+02 5.491270E+00
1.551256E+02 5.353195E+00
1.560804E+02 5.220676E+00
