 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 200
Cross Section [pb]
1.000000E+01 2.481178E+02
1.095477E+01 2.329178E+02
1.190955E+01 2.096008E+02
1.286432E+01 1.862508E+02
1.381910E+01 1.651259E+02
1.477387E+01 1.466788E+02
1.572864E+01 1.307748E+02
1.668342E+01 1.171085E+02
1.763819E+01 1.053524E+02
1.859296E+01 9.520715E+01
1.954774E+01 8.641561E+01
2.050251E+01 7.876232E+01
2.145729E+01 7.206888E+01
2.241206E+01 6.618817E+01
2.336683E+01 6.099882E+01
2.432161E+01 5.640049E+01
2.527638E+01 5.230993E+01
2.623116E+01 4.865780E+01
2.718593E+01 4.538607E+01
2.814070E+01 4.244597E+01
2.909548E+01 3.979631E+01
3.005025E+01 3.740217E+01
3.100503E+01 3.523383E+01
3.195980E+01 3.326586E+01
3.291457E+01 3.147646E+01
3.386935E+01 2.984686E+01
3.482412E+01 2.836086E+01
3.577889E+01 2.700443E+01
3.673367E+01 2.576540E+01
3.768844E+01 2.463321E+01
3.864322E+01 2.359865E+01
3.959799E+01 2.265373E+01
4.055276E+01 2.179150E+01
4.150754E+01 2.100591E+01
4.246231E+01 2.029174E+01
4.341709E+01 1.964449E+01
4.437186E+01 1.906030E+01
4.532663E+01 1.853594E+01
4.628141E+01 1.806869E+01
4.723618E+01 1.765637E+01
4.819095E+01 1.729727E+01
4.914573E+01 1.699016E+01
5.010050E+01 1.673425E+01
5.105528E+01 1.652922E+01
5.201005E+01 1.637521E+01
5.296482E+01 1.627286E+01
5.391960E+01 1.622329E+01
5.487437E+01 1.622818E+01
5.582915E+01 1.628980E+01
5.678392E+01 1.641109E+01
5.773869E+01 1.659575E+01
5.869347E+01 1.684829E+01
5.964824E+01 1.717423E+01
6.060302E+01 1.758024E+01
6.155779E+01 1.807430E+01
6.251256E+01 1.866604E+01
6.346734E+01 1.936699E+01
6.442211E+01 2.019098E+01
6.537688E+01 2.115473E+01
6.633166E+01 2.227840E+01
6.728643E+01 2.358653E+01
6.824121E+01 2.510908E+01
6.919598E+01 2.688287E+01
7.015075E+01 2.895352E+01
7.110553E+01 3.137799E+01
7.206030E+01 3.422803E+01
7.301508E+01 3.759502E+01
7.396985E+01 4.159656E+01
7.492462E+01 4.638602E+01
7.587940E+01 5.216621E+01
7.683417E+01 5.920956E+01
7.778894E+01 6.788864E+01
7.874372E+01 7.872331E+01
7.969849E+01 9.245575E+01
8.065327E+01 1.101739E+02
8.160804E+01 1.335222E+02
8.256281E+01 1.650767E+02
8.351759E+01 2.090487E+02
8.447236E+01 2.726842E+02
8.542714E+01 3.692553E+02
8.638191E+01 5.250283E+02
8.733668E+01 7.972600E+02
8.829146E+01 1.326416E+03
8.924623E+01 2.501233E+03
9.020101E+01 5.323753E+03
9.115578E+01 8.805927E+03
9.211055E+01 5.804266E+03
9.306533E+01 2.784045E+03
9.402010E+01 1.493960E+03
9.497487E+01 9.108458E+02
9.592965E+01 6.098100E+02
9.688442E+01 4.365925E+02
9.783920E+01 3.284075E+02
9.879397E+01 2.564850E+02
9.974874E+01 2.062864E+02
1.007035E+02 1.698653E+02
1.016583E+02 1.425938E+02
1.026131E+02 1.216332E+02
1.035678E+02 1.051656E+02
1.045226E+02 9.198376E+01
1.054774E+02 8.126062E+01
1.064322E+02 7.241438E+01
1.073869E+02 6.502608E+01
1.083417E+02 5.878782E+01
1.092965E+02 5.346916E+01
1.102513E+02 4.889489E+01
1.112060E+02 4.492980E+01
1.121608E+02 4.146823E+01
1.131156E+02 3.842659E+01
1.140704E+02 3.573808E+01
1.150251E+02 3.334874E+01
1.159799E+02 3.121464E+01
1.169347E+02 2.929970E+01
1.178894E+02 2.757402E+01
1.188442E+02 2.601272E+01
1.197990E+02 2.459490E+01
1.207538E+02 2.330291E+01
1.217085E+02 2.212179E+01
1.226633E+02 2.103874E+01
1.236181E+02 2.004284E+01
1.245729E+02 1.912522E+01
1.255276E+02 1.827808E+01
1.264824E+02 1.748910E+01
1.274372E+02 1.675851E+01
1.283920E+02 1.607867E+01
1.293467E+02 1.544471E+01
1.303015E+02 1.485239E+01
1.312563E+02 1.429796E+01
1.322111E+02 1.377810E+01
1.331658E+02 1.328985E+01
1.341206E+02 1.283056E+01
1.350754E+02 1.239787E+01
1.360302E+02 1.198965E+01
1.369849E+02 1.160398E+01
1.379397E+02 1.123915E+01
1.388945E+02 1.089359E+01
1.398492E+02 1.056589E+01
1.408040E+02 1.025477E+01
1.417588E+02 9.959066E+00
1.427136E+02 9.677708E+00
1.436683E+02 9.409728E+00
1.446231E+02 9.154239E+00
1.455779E+02 8.910428E+00
1.465327E+02 8.677548E+00
1.474874E+02 8.454915E+00
1.484422E+02 8.241896E+00
1.493970E+02 8.037910E+00
1.503518E+02 7.842419E+00
1.513065E+02 7.654927E+00
1.522613E+02 7.474974E+00
1.532161E+02 7.302134E+00
1.541709E+02 7.136012E+00
1.551256E+02 6.976239E+00
1.560804E+02 6.822475E+00
