 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 4000.000000 N_points= 200
Cross Section [pb]
1.000000E+01 1.197772E+02
3.005025E+01 3.730856E+01
5.010050E+01 1.669471E+01
7.015075E+01 2.884870E+01
9.020101E+01 5.307728E+03
1.102513E+02 4.877455E+01
1.303015E+02 1.481639E+01
1.503518E+02 7.821221E+00
1.704020E+02 5.046563E+00
1.904523E+02 3.603535E+00
2.105025E+02 2.734479E+00
2.305528E+02 2.161114E+00
2.506030E+02 1.758640E+00
2.706533E+02 1.463155E+00
2.907035E+02 1.238702E+00
3.107538E+02 1.063578E+00
3.308040E+02 9.239504E-01
3.508543E+02 8.106099E-01
3.709045E+02 7.172077E-01
3.909548E+02 6.392350E-01
4.110050E+02 5.734098E-01
4.310553E+02 5.172918E-01
4.511055E+02 4.690326E-01
4.711558E+02 4.272096E-01
4.912060E+02 3.907120E-01
5.112563E+02 3.586613E-01
5.313065E+02 3.303550E-01
5.513568E+02 3.052256E-01
5.714070E+02 2.828098E-01
5.914573E+02 2.627268E-01
6.115075E+02 2.446609E-01
6.315578E+02 2.283482E-01
6.516080E+02 2.135671E-01
6.716583E+02 2.001302E-01
6.917085E+02 1.878780E-01
7.117588E+02 1.766741E-01
7.318090E+02 1.664014E-01
7.518593E+02 1.569587E-01
7.719095E+02 1.482583E-01
7.919598E+02 1.402239E-01
8.120101E+02 1.327886E-01
8.320603E+02 1.258939E-01
8.521106E+02 1.194884E-01
8.721608E+02 1.135263E-01
8.922111E+02 1.079675E-01
9.122613E+02 1.027761E-01
9.323116E+02 9.792010E-02
9.523618E+02 9.337107E-02
9.724121E+02 8.910344E-02
9.924623E+02 8.509427E-02
1.012513E+03 8.132293E-02
1.032563E+03 7.777080E-02
1.052613E+03 7.442105E-02
1.072663E+03 7.125845E-02
1.092714E+03 6.826917E-02
1.112764E+03 6.544065E-02
1.132814E+03 6.276143E-02
1.152864E+03 6.022107E-02
1.172915E+03 5.781002E-02
1.192965E+03 5.551955E-02
1.213015E+03 5.334165E-02
1.233065E+03 5.126896E-02
1.253116E+03 4.929472E-02
1.273166E+03 4.741271E-02
1.293216E+03 4.561719E-02
1.313266E+03 4.390286E-02
1.333317E+03 4.226483E-02
1.353367E+03 4.069857E-02
1.373417E+03 3.919988E-02
1.393467E+03 3.776487E-02
1.413518E+03 3.638992E-02
1.433568E+03 3.507169E-02
1.453618E+03 3.380705E-02
1.473668E+03 3.259309E-02
1.493719E+03 3.142711E-02
1.513769E+03 3.030658E-02
1.533819E+03 2.922913E-02
1.553869E+03 2.819259E-02
1.573920E+03 2.719487E-02
1.593970E+03 2.623406E-02
1.614020E+03 2.530837E-02
1.634070E+03 2.441610E-02
1.654121E+03 2.355568E-02
1.674171E+03 2.272563E-02
1.694221E+03 2.192456E-02
1.714271E+03 2.115118E-02
1.734322E+03 2.040426E-02
1.754372E+03 1.968268E-02
1.774422E+03 1.898535E-02
1.794472E+03 1.831129E-02
1.814523E+03 1.765955E-02
1.834573E+03 1.702925E-02
1.854623E+03 1.641958E-02
1.874673E+03 1.582976E-02
1.894724E+03 1.525910E-02
1.914774E+03 1.470692E-02
1.934824E+03 1.417261E-02
1.954874E+03 1.365559E-02
1.974925E+03 1.315536E-02
1.994975E+03 1.267141E-02
2.015025E+03 1.220333E-02
2.035075E+03 1.175070E-02
2.055126E+03 1.131318E-02
2.075176E+03 1.089045E-02
2.095226E+03 1.048223E-02
2.115276E+03 1.008830E-02
2.135327E+03 9.708476E-03
2.155377E+03 9.342599E-03
2.175427E+03 8.990572E-03
2.195477E+03 8.652340E-03
2.215528E+03 8.327893E-03
2.235578E+03 8.017273E-03
2.255628E+03 7.720574E-03
2.275678E+03 7.437947E-03
2.295729E+03 7.169601E-03
2.315779E+03 6.915810E-03
2.335829E+03 6.676918E-03
2.355879E+03 6.453345E-03
2.375930E+03 6.245591E-03
2.395980E+03 6.054247E-03
2.416030E+03 5.880006E-03
